ZGNXdate,ZGNXnews,ZGNXsource
09/21/20,Zogenix Appoints Three Industry Leaders to Its Board of Directors,PMZ
09/10/20,DJ Press Release: Zogenix Announces Positive -2-,DJGM
09/10/20,DJ Press Release: Zogenix Announces Positive Top-Line Results from its Third Pivotal Phase 3 Clinical Trial (Study 3) of FINTEPLA(R) in Dravet Syndrome,DJGM
09/10/20,Zogenix Announces Positive Top-Line Results from its Third Pivotal Phase 3 Clinical Trial (Study 3) of FINTEPLA¬ in Dravet Syndrome,PMZ
08/05/20,DJ Press Release: Zogenix Provides Corporate Update -2-,DJGM
08/05/20,DJ Press Release: Zogenix Provides Corporate Update and Reports Second Quarter 2020 Financial Results,DJGM
08/05/20,Zogenix Provides Corporate Update and Reports Second Quarter 2020 Financial Results,PMZ
07/29/20,"Zogenix, Inc.(ZGNX-US) Schedules Q2 2020 Earnings Release for 5-August-2020 4:01 PM ET",FCSTEV
07/29/20,"Zogenix, Inc.(ZGNX-US) Schedules Q2 2020 Earnings Call for 5-August-2020 4:30 PM ET",FCSTEV
07/29/20,Zogenix to Release Second Quarter 2020 Financial Results and Host Conference Call and Webcast on August 5,PMZ
06/26/20,DJ Press Release: FDA Approves FINTEPLA(R) -2-,DJGM
06/26/20,DJ Press Release: FDA Approves FINTEPLA(R) (fenfluramine) for the Treatment of Seizures Associated with Dravet Syndrome,DJGM
06/25/20,"Zogenix, Inc.(ZGNX-US) Schedules Fintepla FDA Approval Call for 26-June-2020 8:30 AM ET",FCSTEV
06/25/20,FDA Approves FINTEPLA¬  (fenfluramine) for the Treatment of Seizures Associated with Dravet Syndrome,PRN
06/12/20,Zogenix Introduces New Resources for Dravet Syndrome Siblings,PMZ
06/12/20,DJ Press Release: Zogenix Introduces New Resources for Dravet Syndrome Siblings,DJGM
05/08/20,"Zogenix, Inc.(ZGNX-US) Schedules Bank of America Merrill Lynch Virtual Healthcare Conference for 13-May-2020 3:00 PM ET",FCSTEV
05/06/20,Zogenix to Participate in the BofA Securities 2020 Virtual Healthcare Conference,PMZ
05/05/20,Zogenix Provides Corporate Update and Reports First Quarter 2020 Financial Results,PMZ
05/05/20,DJ Press Release: Zogenix Provides Corporate Update and Reports First Quarter 2020 Financial Results,DJGM
05/05/20,DJ Press Release: Zogenix Provides Corporate Update -2-,DJGM
04/28/20,"Zogenix, Inc.(ZGNX-US) Schedules Q1 2020 Earnings Call for 5-May-2020 4:30 PM ET",FCSTEV
04/28/20,"Zogenix, Inc.(ZGNX-US) Schedules Q1 2020 Earnings Release for 5-May-2020 4:01 PM ET",FCSTEV
04/28/20,Zogenix to Release First Quarter 2020 Financial Results and Host Conference Call and Webcast on May 5,PMZ
04/20/20,"DJ Press Release: Zogenix Appoints Shawnte Mitchell as Executive Vice President, General Counsel & Secretary",DJGM
04/20/20,"Zogenix Appoints Shawnte Mitchell as Executive Vice President, General Counsel & Secretary",PMZ
04/20/20,"Zogenix, Inc.(ZGNX-US) Schedules Annual General Meeting for 29-May-2020 12:00 PM ET",FCSTEV
04/15/20,"Zogenix, Inc.(ZGNX-US) Schedules Business Update Call for 22-April-2020 1:00 PM ET",FCSTEV
04/15/20,Zogenix to Host Investor Conference Call and Webcast on Two Studies Evaluating FINTEPLA¬ in Dravet Syndrome and Sunflower Syndrome,PMZ
03/06/20,"Zogenix Announces Closing of Public Offering of Common Stock, Including Full Exercise of Underwriters' Option to Purchase Additional Shares",PMZ
03/06/20,"DJ Press Release: Zogenix Announces Closing of Public Offering of Common Stock, Including Full Exercise of Underwriters' Option to Purchase Additional Shares",DJGM
03/03/20,Zogenix Prices Public Offering of Common Stock,PMZ
03/03/20,DJ Press Release: Zogenix Prices Public Offering of Common Stock,DJGM
03/03/20,Zogenix Announces Proposed Public Offering of Common Stock,PMZ
03/03/20,DJ Press Release: Zogenix Announces Proposed Public Offering of Common Stock,DJGM
03/02/20,Zogenix Provides Corporate Update and Reports Fourth Quarter and Full-Year 2019 Financial Results,PMZ
03/02/20,DJ Press Release: Zogenix Provides Corporate Update -2-,DJGM
03/02/20,DJ Press Release: Zogenix Provides Corporate Update and Reports Fourth Quarter and Full-Year 2019 Financial Results,DJGM
02/27/20,DJ Press Release: Zogenix Announces FDA Extension of Review Period for FINTEPLA(R) in Dravet Syndrome,DJGM
02/27/20,Zogenix Announces FDA Extension of Review Period for FINTEPLA¬ in Dravet Syndrome,PMZ
02/24/20,"Zogenix, Inc.(ZGNX-US) Schedules Q4 2019 Earnings Release for 2-March-2020 4:01 PM ET",FCSTEV
02/24/20,"Zogenix, Inc.(ZGNX-US) Schedules Q4 2019 Earnings Call for 2-March-2020 4:30 PM ET",FCSTEV
02/24/20,DJ Press Release: Zogenix to Release Fourth Quarter and Full-Year 2019 Financial Results and Host Conference Call and Webcast on March 2,DJGM
02/24/20,Zogenix to Release Fourth Quarter and Full-Year 2019 Financial Results and Host Conference Call and Webcast on March 2,PMZ
02/06/20,"Zogenix, Inc.(ZGNX-US) Schedules FINTEPLA Phase 3 Clinical Trial Results Call for 6-February-2020 4:30 PM ET",FCSTEV
02/06/20,Zogenix Announces Positive Top-line Results from Global Pivotal Phase 3 Trial  of FINTEPLA¬ for the Treatment of Lennox-Gastaut Syndrome,PMZ
12/17/19,The Lancet Publishes Phase 3 Trial Results for Zogenix  Investigational Drug FINTEPLA¬ in Dravet Syndrome,PMZ
12/17/19,DJ Press Release: The Lancet Publishes Phase 3 Trial Results for Zogenix Investigational Drug FINTEPLA(R) in Dravet Syndrome,DJGM
12/17/19,DJ Press Release: The Lancet Publishes Phase 3 Trial -2-,DJGM
12/09/19,"Zogenix, Inc.(ZGNX-US) Schedules American Epilepsy Society Meeting for 9-December-2019 12:00 PM ET",FCSTEV
12/05/19,DJ Press Release: Zogenix to Host Investor Update Lunch on FINTEPLA(R) at the American Epilepsy Society 2019 Annual Meeting,DJGM
12/05/19,Zogenix to Host Investor Update Lunch on FINTEPLA¬ at the American Epilepsy Society 2019 Annual Meeting,PMZ
12/04/19,"Zogenix, Inc.(ZGNX-US) Schedules American Epilepsy Society Meeting - Poster No - 292 for 9-December-2019 8:00 AM ET",FCSTEV
12/04/19,"Zogenix, Inc.(ZGNX-US) Schedules American Epilepsy Society Meeting - Poster No - 203 for 8-December-2019 10:00 AM ET",FCSTEV
12/04/19,"Zogenix, Inc.(ZGNX-US) Schedules American Epilepsy Society Meeting - Poster No - 431 for 9-December-2019 8:00 AM ET",FCSTEV
12/04/19,"Zogenix, Inc.(ZGNX-US) Schedules American Epilepsy Society Meeting - Poster No - 419 for 7-December-2019 12:00 PM ET",FCSTEV
12/04/19,"Zogenix, Inc.(ZGNX-US) Schedules American Epilepsy Society Meeting - Poster No - 224 for 8-December-2019 10:00 AM ET",FCSTEV
12/04/19,"Zogenix, Inc.(ZGNX-US) Schedules American Epilepsy Society Meeting - Poster No - 430 for 9-December-2019 8:00 AM ET",FCSTEV
12/04/19,"Zogenix, Inc.(ZGNX-US) Schedules American Epilepsy Society Meeting - Poster No - 438 for 8-December-2019 10:00 AM ET",FCSTEV
12/04/19,"Zogenix, Inc.(ZGNX-US) Schedules American Epilepsy Society Meeting - Poster No - 217 for 7-December-2019 12:00 PM ET",FCSTEV
12/04/19,"Zogenix, Inc.(ZGNX-US) Schedules American Epilepsy Society Meeting for 8-December-2019 8:00 AM ET",FCSTEV
12/02/19,JAMA Neurology Publishes Phase 3 Study of Zogenix Investigational Drug FINTEPLA¬ in Dravet Syndrome Patients Taking Stiripentol-Containing Antiepileptic Drug Regimens ,PMZ
12/02/19,DJ Press Release: JAMA Neurology Publishes Phase 3 -2-,DJGM
12/02/19,DJ Press Release: JAMA Neurology Publishes Phase 3 Study of Zogenix Investigational Drug FINTEPLA(R) in Dravet Syndrome Patients Taking Stiripentol-Containing Antiepileptic Drug Regimens,DJGM
12/02/19,DJ Press Release: Zogenix to Present New Data for Its Investigational Drug FINTEPLA(R) at the American Epilepsy Society Annual Meeting,DJGM
12/02/19,Zogenix to Present New Data for Its Investigational Drug FINTEPLA¬ at the American Epilepsy Society Annual Meeting,PMZ
11/27/19,"Zogenix, Inc.(ZGNX-US) Schedules Piper Jaffray Healthcare Conference for 5-December-2019 10:00 AM ET",FCSTEV
11/27/19,DJ Press Release: Zogenix to Participate in the 31st Annual Piper Jaffray Healthcare Conference,DJGM
11/27/19,Zogenix to Participate in the 31st Annual Piper Jaffray Healthcare Conference,PMZ
11/25/19,DJ Press Release: Zogenix Announces FDA Acceptance for Filing of New Drug Application and Priority Review for FINTEPLA(R) for the Treatment of Dravet Syndrome,DJGM
11/25/19,Zogenix Announces FDA Acceptance for Filing of New Drug Application and Priority Review for FINTEPLA¬ for the Treatment of Dravet Syndrome,PMZ
11/21/19,"Shareholder Alert: Robbins LLP Reminds Investors Zogenix, Inc. (ZGNX) Sued for Misleading Shareholders",BW
11/12/19,"Zogenix, Inc.(ZGNX-US) Schedules Guggenheim Healthcare Talks, Idea Forum and Neuro Immunology Day for 18-November-2019 2:30 PM ET",FCSTEV
11/12/19,"Zogenix, Inc.(ZGNX-US) Schedules Stifel Health Care Conference for 19-November-2019 4:45 PM ET",FCSTEV
11/12/19,DJ Press Release: Zogenix to Present at Two Investor Conferences in November,DJGM
11/12/19,Zogenix to Present at Two Investor Conferences in November,PMZ
11/07/19,DJ Press Release: Zogenix Provides Corporate Update and Reports Third Quarter 2019 Financial Results,DJGM
11/07/19,DJ Press Release: Zogenix Provides Corporate Update -2-,DJGM
11/07/19,Zogenix Provides Corporate Update and Reports Third Quarter 2019 Financial Results,PMZ
10/31/19,"Zogenix, Inc.(ZGNX-US) Schedules Q3 2019 Earnings Call for 7-November-2019 4:30 PM ET",FCSTEV
10/31/19,"Zogenix, Inc.(ZGNX-US) Schedules Q3 2019 Earnings Release for 7-November-2019 4:01 PM ET",FCSTEV
10/31/19,DJ Press Release: Zogenix to Release Third Quarter 2019 Financial Results and Host Conference Call and Webcast on November 7,DJGM
10/31/19,Zogenix to Release Third Quarter 2019 Financial Results and Host Conference Call and Webcast on November 7,PMZ
10/25/19,DJ Press Release: Zogenix Announces New Positive Data for Its Investigational Drug FINTEPLA(R) in Dravet Syndrome,DJGM
10/25/19,DJ Press Release: Zogenix Announces New Positive -2-,DJGM
10/25/19,Zogenix Announces New Positive Data for Its Investigational Drug FINTEPLA¬  in Dravet Syndrome,PMZ
10/21/19,"Zogenix, Inc.(ZGNX-US) Schedules Child Neurology Society Meeting - Poster #36 for 25-October-2019 7:00 AM ET",FCSTEV
10/21/19,"Zogenix, Inc.(ZGNX-US) Schedules Child Neurology Society Meeting - Poster # 38 for 25-October-2019 7:00 AM ET",FCSTEV
10/21/19,"Zogenix, Inc.(ZGNX-US) Schedules Child Neurology Society Meeting - Poster #62 for 25-October-2019 7:00 AM ET",FCSTEV
10/21/19,"Zogenix, Inc.(ZGNX-US) Schedules Child Neurology Society Meeting - Poster # 38 for 24-October-2019 4:00 PM ET",FCSTEV
10/21/19,"Zogenix, Inc.(ZGNX-US) Schedules Child Neurology Society Meeting - Poster #62 for 24-October-2019 4:00 PM ET",FCSTEV
10/21/19,"Zogenix, Inc.(ZGNX-US) Schedules Child Neurology Society Meeting - Poster #41 for 24-October-2019 12:45 PM ET",FCSTEV
10/21/19,"Zogenix, Inc.(ZGNX-US) Schedules Child Neurology Society Meeting - Poster #44 for 24-October-2019 4:00 PM ET",FCSTEV
10/21/19,"Zogenix, Inc.(ZGNX-US) Schedules Child Neurology Society Meeting - Poster #36 for 24-October-2019 4:00 PM ET",FCSTEV
10/21/19,"Zogenix, Inc.(ZGNX-US) Schedules Child Neurology Society Meeting - Poster #41 for 24-October-2019 4:00 PM ET",FCSTEV
10/21/19,"Zogenix, Inc.(ZGNX-US) Schedules Child Neurology Society Meeting - Poster #44 for 25-October-2019 7:00 AM ET",FCSTEV
10/21/19,DJ Press Release: Zogenix Announces Presentation of New Data for FINTEPLA(R) for the Treatment of Dravet Syndrome at the Child Neurology Society Annual Meeting,DJGM
10/21/19,Zogenix Announces Presentation of New Data for FINTEPLA¬ for the Treatment of Dravet Syndrome at the Child Neurology Society Annual Meeting,PMZ
10/08/19,"Bragar Eagel & Squire is Investigating Certain Officers and Directors of CBL & Associates Properties, EQT Corporation, and Zogenix and Encourages Investors to Contact the Firm ",PMZ
10/07/19,Zogenix Presents Positive Clinical Study Results for Investigational Treatment for TK2 Deficiency,PMZ
09/26/19,Zogenix Resubmits New Drug Application for FINTEPLA¬ for the Treatment of Dravet Syndrome to U.S. Food and Drug Administration,PMZ
09/23/19,"ONGOING INVESTIGATION NOTICE: The Schall Law Firm Announces it is Investigating Claims Against Zogenix, Inc. and Encourages Investors with Losses to Contact the Firm",PMZ
09/18/19,"Bragar Eagel & Squire is Investigating Certain Officers and Directors of Orion Group Holdings, Zogenix, and Apyx and Encourages Investors to Contact the Firm",PMZ
09/16/19,"ONGOING INVESTIGATION REMINDER: The Schall Law Firm Announces it is Investigating Claims Against Zogenix, Inc. and Encourages Investors with Losses in Excess of $100,000 to Contact the Firm",PMZ
09/09/19,"Zogenix Completes Acquisition of Modis Therapeutics, Inc. ",PMZ
09/04/19,"ONGOING INVESTIGATION ALERT: The Schall Law Firm Announces it is Investigating Claims Against Zogenix, Inc. and Encourages Investors with Losses in Excess of $100,000 to Contact the Firm",PMZ
08/26/19,"Zogenix, Inc.(ZGNX-US) Schedules Acquisition of Modis Therapeutics, Inc by Zogenix, Inc Call for 26-August-2019 8:30 AM ET",FCSTEV
08/26/19,"Zogenix Announces Acquisition of Modis Therapeutics, Inc.",PMZ
08/06/19,Zogenix Provides Corporate Update and Reports Second Quarter 2019 Financial Results,PMZ
07/30/19,"Zogenix, Inc.(ZGNX-US) Schedules Q2 2019 Earnings Call for 6-August-2019 4:30 PM ET",FCSTEV
07/30/19,"Zogenix, Inc.(ZGNX-US) Schedules Q2 2019 Earnings Release for 6-August-2019 4:01 PM ET",FCSTEV
07/30/19,Zogenix to Release Second Quarter 2019 Financial Results and Host Conference Call and Webcast on August 6,PMZ
07/08/19,Zogenix Completes Enrollment in Phase 3 Trial of FINTEPLA¬ in Lennox-Gastaut Syndrome,PMZ
06/27/19,Zogenix Announces FDA Agreement to Proceed with Resubmission of FINTEPLA¬ NDA  ,PMZ
06/07/19,"Zogenix, Inc. (ZGNX), BrightView Holdings, Inc. (BV) & Taronis Technologies, Inc. f/k/a MagneGas Applied Technology (TRNX) - Bronstein, Gewirtz & Grossman, LLC Notifies of Class Actions",PMZ
06/06/19,ZGNX and APYX DEADLINE ALERT: Hagens Berman Reminds APYX and ZGNX Investors of Lead Plaintiff Deadlines,PMZ
06/06/19,"CLASS ACTION UPDATE for ZGNX, MWA, KSHB and SCOR: Levi & Korsinsky, LLP Reminds Investors of Class Actions on Behalf of Shareholders",PMZ
06/05/19,"Bragar Eagel & Squire, P.C. Reminds Investors That Class Action Lawsuits Have Been Filed Against Orion, Zogenix, BrightView, and Eventbrite and Encourages Investors to Contact the Firm",PMZ
06/05/19,"ZGNX NOTICE: ROSEN, A GLOBALLY RECOGNIZED LAW FIRM, Announces Investigation of Securities Claims Against Zogenix, Inc. Investors with Losses in Excess of $100K are Encouraged to Contact the Firm - ZGNX",BW
06/05/19,"SHAREHOLDER ALERT: Pomerantz Law Firm Reminds Shareholders with Losses on their Investment in Zogenix, Inc. of Class Action Lawsuit and Upcoming Deadline -æZGNX",PMZ
06/04/19,"Glancy Prongay & Murray Reminds Investors of Looming Deadline in the Class Action Lawsuit Against Zogenix, Inc.",PMZ
06/01/19,"LEAD PLAINTIFF DEADLINE: Johnson Fistel, LLP Encourages Investors Who Suffered Large Investment Losses to Contact the Firm",PRN
05/31/19,"CLASS ACTION UPDATES for BA, CRCM, ZGNX, INVVY: Hagens Berman Reminds Investors of Class Actions on Behalf of Shareholders",PMZ
05/29/19,"Bragar Eagel & Squire, P.C. Reminds Investors That Class Action Lawsuits Have Been Filed Against Orion, Zogenix, BrightView, and Eventbrite and Encourages Investors to Contact the Firm ",PMZ
05/23/19,ZGNX CLASS ACTION REMINDER: Hagens Berman Reminds Zogenix (ZGNX) Investors of Class Action of Upcoming Deadline,PMZ
05/22/19,"CLASS ACTION UPDATE for CRCM, ZGNX, S and EQBK: Levi & Korsinsky, LLP Reminds Investors of Class Actions on Behalf of Shareholders",PMZ
05/22/19,"Bragar Eagel & Squire, P.C. Reminds Investors That Class Action Lawsuits Have Been Filed Against Orion, Zogenix, BrightView, and Eventbrite and Encourages Investors to Contact the Firm",PMZ
05/21/19,"LEAD PLAINTIFF DEADLINE ALERT: Faruqi & Faruqi, LLP Encourages Investors Who Suffered Losses Exceeding $100,000 Investing In Zogenix, Inc. To Contact The Firm",PMZ
05/20/19,"SHAREHOLDER ALERT:æ Pomerantz Law Firm Reminds Shareholders with Losses on their Investment in Zogenix, Inc. of Class Action Lawsuit and Upcoming Deadline -æZGNX",PMZ
05/17/19,"Bragar Eagel & Squire, P.C. Reminds Investors That Class Action Lawsuits Have Been Filed Against Orion, Zogenix, BrightView, and Eventbrite and Encourages Investors to Contact the Firm",PMZ
05/14/19,"SHAREHOLDER ALERT:  Pomerantz Law Firm Reminds Shareholders with Losses on their Investment in Zogenix, Inc. of Class Action Lawsuit and Upcoming Deadline- ZGNX",PRN
05/13/19,"LEAD PLAINTIFF DEADLINE ALERT: Faruqi & Faruqi, LLP Encourages Investors Who Suffered Losses Exceeding $100,000 Investing In Zogenix, Inc. To Contact The Firm",PMZ
05/13/19,SHAREHOLDER ALERT: MBT NTNX ZGNX INVVY: The Law Offices of Vincent Wong Reminds Investors of Important Class Action Deadlines,PMZ
05/10/19,"Bragar Eagel & Squire, P.C. Reminds Investors That Class Action Lawsuits Have Been Filed Against Orion, Zogenix, BrightView, and Eventbrite and Encourages Investors to Contact the Firm",PMZ
05/09/19,"SHAREHOLDER ALERT: Pomerantz Law Firm Reminds Shareholders with Losses on their Investment in Zogenix, Inc. of Class Action Lawsuit and Upcoming Deadline - ZGNX",PMZ
05/08/19,Zogenix Provides Corporate Update and Reports First Quarter 2019 Financial Results,PMZ
05/07/19,"Zogenix, Inc.(ZGNX-US) Schedules Bank of America Merrill Lynch Health Care Conference for 14-May-2019 8:00 PM ET",FCSTEV
05/07/19,Zogenix to Participate in the Bank of America Merrill Lynch 2019 Healthcare Conference,PMZ
05/07/19,"Lawsuit for Investors in Zogenix, Inc. (NASDAQ: ZGNX) shares announced by Shareholders Foundation",NEWS_ACW
05/03/19,"SHAREHOLDER ALERT: Rigrodsky & Long, P.A. Reminds Investors of SCOR, MWA, and ZGNX of Upcoming Deadlines",PMZ
05/03/19,"Glancy Prongay & Murray Reminds Investors of Looming Deadline in the Class Action Lawsuit Against Zogenix, Inc.",BW
05/02/19,"Deadline Reminder: The Law Offices of Howard G. Smith Reminds Investors of Looming Deadline in the Class Action Lawsuit Against Zogenix, Inc.",BW
05/02/19,"SHAREHOLDER ALERT:  Pomerantz Law Firm Reminds Shareholders with Losses on their Investment in Zogenix, Inc. of Class Action Lawsuit and Upcoming Deadline - ZGNX",PMZ
05/02/19,"ZGNX CLASS ACTION ALERT: Rosen Law Firm Announces Filing of Securities Class Action Lawsuit Against Zogenix, Inc. - ZGNX",PRN
05/01/19,"ZGNX CLASS ACTION REMINDER: Hagens Berman Reminds Zogenix (ZGNX) Investors of Securities Class Action, Encourages Investors Who Suffered Losses of $50,000+ to Contact the Firm",PMZ
05/01/19,Zogenix Reports Granting of Inducement Awards Under Nasdaq Listing Rule 5635(c)(4),PMZ
05/01/19,"LEAD PLAINTIFF DEADLINE ALERT: Faruqi & Faruqi, LLP Encourages Investors Who Suffered Losses Exceeding $100,000 Investing In Zogenix, Inc. To Contact The Firm",PMZ
05/01/19,"Zogenix, Inc.(ZGNX-US) Schedules Q1 2019 Earnings Call for 8-May-2019 4:30 PM ET",FCSTEV
05/01/19,"Zogenix, Inc.(ZGNX-US) Schedules Q1 2019 Earnings Release for 8-May-2019 4:01 PM ET",FCSTEV
05/01/19,Zogenix to Release First Quarter 2019 Financial Results and Host Conference Call and Webcast on May 8,PMZ
04/30/19,"LEAD PLAINTIFF DEADLINE ALERT: Faruqi & Faruqi, LLP Encourages Investors Who Suffered Losses Exceeding $100,000 Investing in Zogenix, Inc. to Contact the Firm",BW
04/29/19,"ZGNX DEADLINE: Pawar Law Group Announces a Securities Class Action Lawsuit Against Zogenix, Inc. - ZGNX",PMZ
04/28/19,"INVESTOR ALERT: Kaskela Law LLC Announces Important Shareholder Class Action Lawsuit Deadlines - BA, SCOR, MWA and ZGNX",PMZ
04/26/19,"Glancy Prongay & Murray LLP Announces the Filing of a Securities Class Action on Behalf of Zogenix, Inc. Corporation Investors",BW
04/26/19,"Bragar Eagel & Squire, P.C. Reminds Investors That Class Action Lawsuits Have Been Filed Against Orion, Zogenix, BrightView, and Eventbrite and Encourages Investors to Contact the Firm",PMZ
04/25/19,"INVESTOR ALERT: Law Offices of Howard G. Smith Announces the Filing of a Securities Class Action on Behalf of Zogenix, Inc. Investors (ZGNX)",BW
04/25/19,"LEAD PLAINTIFF DEADLINE ALERT: Faruqi & Faruqi, LLP Encourages Investors Who Suffered Losses Exceeding $100,000 Investing In Zogenix, Inc. To Contact The Firm",PMZ
04/22/19,"LEAD PLAINTIFF DEADLINE ALERT: Faruqi & Faruqi, LLP Encourages Investors Who Suffered Losses Exceeding $100,000 Investing In Zogenix, Inc. To Contact The Firm",PRN
04/19/19,"ZGNX CLASS ACTION ALERT: Rosen Law Firm Reminds Zogenix, Inc. Investors of Important Deadline in Securities Class Action - ZGNX",BW
04/18/19,"IMPORTANT INVESTOR ALERT: The Schall Law Firm Announces the Filing of a Class Action Lawsuit Against Zogenix, Inc. and Encourages Investors with Losses in Excess of $100,000 to Contact the Firm",BW
04/18/19,"Gainey McKenna & Egleston Announces A Class Action Lawsuit Has Been Filed Against Zogenix, Inc. (ZGNX)",PMZ
04/17/19,"Glancy Prongay & Murray LLP Announces Investigation on Behalf of Zogenix, Inc. Investors (ZGNX)",PMZ
04/17/19,"ZOGENIX, INC. INVESTOR ALERT: Wolf Haldenstein Adler Freeman & Herz LLP announces that a securities class action lawsuit hasæbeenæfiledæinætheæUnited States District Court for the Northern District of California against Zogenix, Inc.",PMZ
04/17/19,SHAREHOLDER ALERT: DPLO BV ZGNX MWA: The Law Offices of Vincent Wong Reminds Investors of Important Class Action Deadlines,PMZ
04/16/19,"ZGNX CLASS ACTION ALERT: Hagens Berman Alerts Zogenix (ZGNX) Investors to Securities Class Action, Encourages Investors to Contact the Firm",PRN
04/16/19,"LEAD PLAINTIFF DEADLINE ALERT: Faruqi & Faruqi, LLP Encourages Investors Who Suffered Losses Exceeding $100,000 Investing In Zogenix, Inc. To Contact The Firm",PMZ
04/16/19,"EQUITY ALERT: Rosen Law Firm Announces Filing of Securities Class Action Lawsuit Against Zogenix, Inc. - ZGNX",BW
04/15/19,"Hagens Berman Alerts Zogenix (ZGNX) Investors of the Firm's Investigation of Possible Securities Law Violations, Encourages Investors to Contact the Firm",PRN
04/13/19,"Former California Deputy Attorney General and Special Counsel with Johnson Fistel Launches Investigation into Zogenix, Inc. (ZGNX)",PRN
04/12/19,"Bragar Eagel & Squire, P.C. Announces That a Class Action Lawsuit Has Been Filed Against Zogenix, Inc. (ZGNX) and Encourages ZGNX Investors to Contact the Firm",PMZ
04/12/19,"Pomerantz Law Firm Announces the Filing of a Class Action against  Zogenix, Inc. and Certain Officers -æZGNX",PMZ
04/11/19,"INVESTIGATION REMINDER: The Schall Law Firm Announces it is Investigating Claims Against Zogenix, Inc. and Encourages Investors with Losses in Excess of $100,000 to Contact the Firm",BW
04/11/19,"Zogenix, Inc.(ZGNX-US) Schedules Annual General Meeting for 22-May-2019 12:00 PM ET",FCSTEV
04/11/19,"Glancy Prongay & Murray LLP Announces Investigation on Behalf of Zogenix, Inc. Investors (ZGNX)",BW
04/10/19,"Glancy Prongay & Murray LLP Announces Investigation on Behalf of Zogenix, Inc. Investors (ZGNX)",BW
04/10/19,"INVESTOR ALERT: Law Offices of Howard G. Smith Announces Investigation on Behalf of Zogenix, Inc.æInvestors",BW
04/10/19,"Bragar Eagel & Squire, P.C. is Investigating Zogenix, Inc. (ZGNX) on Behalf of Stockholders and Encourages ZGNX Investors to Contact the Firm",PMZ
04/10/19,"INVESTIGATION ALERT: The Schall Law Firm Announces it is Investigating Claims Against Zogenix, Inc. and Encourages Investors with Losses in Excess of $100,000 to Contact the Firm",BW
04/10/19,Zogenix Investigated by Block & Leviton LLP For Violations of Federal Securities Laws,PMZ
