FBdate,FBnews,FBsource
09/22/20,"DJ pressetext.de: Facebook: ""Rights Manager"" schŸtzt Bildrechte - Urheber sollen Verwendung ihrer Fotos genau Ÿberwachen k_nnen und notfalls blockieren",DJPA
09/10/20,DJ Press Release: iQSTEL Announces New Shareholder -2-,DJGM
09/10/20,DJ Press Release: iQSTEL Announces New Shareholder Ambassador Facebook Group and Contest,DJGM
09/07/20,"Facebook, Inc.(FB-US) Schedules 6G Symposium for 20-October-2020",FCSTEV
09/03/20,"DJ Press Release: SureDone Extends Facebook Partnership with ""Checkout on Instagram"" for Merchants",DJGM
08/25/20,DJ Press Release: BigCommerce Teams Up with Facebook to Unlock Checkout on Instagram Feature for US Merchants,DJGM
08/20/20,DJ Press Release: RESAAS Announces Addition of Facebook Live Integration,DJGM
08/11/20,Facebook and GameRefinery launch mobile gaming report: 'Genre and great games - Understanding Audiences and Designing Better Mobile Games',PRNE
08/03/20,"DJ Press Release: Facebook Leases 730,000 Square Feet at Vornado's Farley Building",DJGM
07/30/20,DJ Press Release: Facebook Reports Second Quarter -3-,DJGM
07/30/20,DJ Press Release: Facebook Reports Second Quarter -2-,DJGM
07/30/20,DJ Press Release: Facebook Reports Second Quarter 2020 Results,DJGM
07/30/20,Facebook Reports Second Quarter 2020 Results,PRN
07/27/20,DJ Press Release: Facebook Reschedules Release of Second Quarter 2020 Financial Results and Conference Call,DJGM
07/27/20,Facebook Reschedules Release of Second Quarter 2020 Financial Results and Conference Call,PRN
07/01/20,"Facebook, Inc.(FB-US) Schedules Q2 2020 Earnings Release for 30-July-2020 4:05 PM ET",FCSTEV
07/01/20,"Facebook, Inc.(FB-US) Schedules Q2 2020 Earnings Call for 30-July-2020 6:00 PM ET",FCSTEV
07/01/20,DJ Press Release: Facebook to Announce Second Quarter 2020 Results,DJGM
07/01/20,Facebook to Announce Second Quarter 2020 Results,PRN
06/30/20,DJ Press Release: Digicel Ceases All Paid Advertising On Facebook Platforms In Anti-Hate Speech Stand,DJGM
06/15/20,DJ Press Release: Visa Partners to Launch Payments on WhatsApp in Brazil,DJGM
05/27/20,DJ Press Release: Zoom In on 'Alika's Eyes' During Facebook Event on June 1,DJGM
05/14/20,2Africa: a transformative subsea cable for future internet connectivity in Africa announced by global and African partners,PRN
04/29/20,DJ Press Release: Facebook Reports First Quarter -3-,DJGM
04/29/20,DJ Press Release: Facebook Reports First Quarter -2-,DJGM
04/29/20,DJ Press Release: Facebook Reports First Quarter 2020 Results,DJGM
04/29/20,Facebook Reports First Quarter 2020 Results,PRN
04/16/20,"DJ Press Release: Facebook's Oculus Venues And Complex Announced As Streaming Partners For LiveXLive's ""Music Lives"" Global Music Festival Featuring 100+ Artists Over 48 Hours For MusiCares 'COVID-19 Relief Fund'",DJGM
04/15/20,"Facebook, Inc.(FB-US) Schedules Annual General Meeting for 27-May-2020 1:00 PM ET",FCSTEV
04/09/20,"Facebook, Inc.(FB-US) Schedules Q1 2020 Earnings Call for 29-April-2020 5:00 PM ET",FCSTEV
04/09/20,"Facebook, Inc.(FB-US) Schedules Q1 2020 Earnings Release for 29-April-2020 4:05 PM ET",FCSTEV
04/09/20,DJ Press Release: Facebook to Announce First Quarter 2020 Results,DJGM
04/09/20,Facebook to Announce First Quarter 2020 Results,PRN
04/01/20,"DJ Press Release: Fox News Channel and Facebook to Present a Virtual Town Hall on the Global Coronavirus Pandemic on Thursday, April 2",DJGM
03/26/20,DJ Press Release: Facebook Appoints Robert M. Kimmitt as Lead Independent Director,DJGM
03/26/20,Facebook Appoints Robert M. Kimmitt as Lead Independent Director,PRN
03/12/20,DJ Press Release: USA TODAY Expands Its Fact-Checking Efforts in New Partnership With Facebook to Identify Misinformation,DJGM
03/10/20,How Coronavirus Is Threatening More Than Just Supply and Demand,PRN
03/10/20,"DJ Press Release: In Partnership with Facebook Connectivity, Hughes Installs 1,000th Satellite-enabled Express Wi-Fi Hotspot in Latin America",DJGM
03/09/20,DJ Press Release: Nancy Killefer and Tracey T. Travis Join Facebook Board of Directors,DJGM
03/09/20,Nancy Killefer and Tracey T. Travis Join Facebook Board of Directors,PRN
02/27/20,DJ Press Release: Cambium Networks Expands Collaboration with Facebook Connectivity for Multiple Wireless Access Initiatives,DJGM
02/25/20,"DJ Press Release: Facebook to Participate in the Morgan Stanley Technology, Media & Telecom Conference",DJGM
02/25/20,"Facebook to Participate in the Morgan Stanley Technology, Media & Telecom Conference",PRN
02/14/20,DJ Facebook et Fally Ipupa s'engagent pour un internet plus s_r,DJDG
02/13/20,"DJ Press Release: Dominion Energy, Facebook Add to Partnership on Renewable Energy in Virginia",DJGM
02/06/20,DJ Press Release: Facebook is Most Imitated Brand for Phishing Attempts: Check Point Research's Q4 2019 Brand Phishing report,DJGM
02/04/20,"TikTok, Apple Search Ads, Facebook, Google: Top Ad Networks In Singular's 2020 ROI Index",PRNE
02/03/20,DJ Press Release: Drew Houston Joins Facebook Board of Directors,DJGM
02/03/20,Drew Houston Joins Facebook Board of Directors,PRN
02/03/20,5WPR Survey Reveals Facebook is the Most Used Social Media Platform among American Millennials,PRN
01/29/20,DJ Press Release: Facebook Reports Fourth Quarter and Full Year 2019 Results,DJGM
01/29/20,DJ Press Release: Facebook Reports Fourth Quarter -3-,DJGM
01/29/20,DJ Press Release: Facebook Reports Fourth Quarter -2-,DJGM
01/29/20,Facebook Reports Fourth Quarter and Full Year 2019 Results,PRN
01/28/20,DJ Press Release: MCNC and Facebook to Bring High-Speed Internet to Western North Carolina,DJGM
01/16/20,80% of People Prefer Facebook's Old Logo,PRN
01/07/20,"Facebook, Inc.(FB-US) Schedules Consumer Electronics Show - Panel for 7-January-2020 4:00 PM ET",FCSTEV
01/02/20,"Facebook, Inc.(FB-US) Schedules Q4 2019 Earnings Call for 29-January-2020 5:00 PM ET",FCSTEV
01/02/20,"Facebook, Inc.(FB-US) Schedules Q4 2019 Earnings Release for 29-January-2020 4:05 PM ET",FCSTEV
01/02/20,DJ Press Release: Facebook to Announce Fourth Quarter and Full Year 2019 Results,DJGM
01/02/20,Facebook to Announce Fourth Quarter and Full Year 2019 Results,PRN
12/19/19,DJ pressetext.de: Cloud Gaming: Facebook schluckt PlayGiga - †ber 60 bekannte Entwicklerstudios auf Plattform - Eigener Cloud-Gaming-Service m_glich,DJPA
12/18/19,DJ Press Release: New Facebook/Instagram Policy on Tobacco Marketing Must Be Immediately Implemented and Strictly Enforced,DJGM
12/17/19,DJ Press Release: S&P 500 buybacks reverse declines -2-,DJGM
12/17/19,DJ Press Release: S&P 500 buybacks reverse declines in Q3 2019; expenditures remain lower than the 2018 levels,DJGM
12/06/19,DJ pressetext.de: Facebook: Anti-Islam-Hetze als Geldmaschine - Netzwerk aus Israel publiziert Fake News auf rechtsgerichteten Seiten - Profit durch Werbung,DJPA
11/21/19,DJ Press Release: Facebook to Purchase Renewable Power from Apex's Altavista Solar Project,DJGM
11/21/19,Facebook to Purchase Renewable Power from Apex's Altavista Solar Project,BW
11/19/19,"DJ Facebook-Werbung lockt Anwender in die Trojaner-Falle - ESET entdeckt eine bisher unbekannte Malware, die es auf Banking-Kunden abgesehen hat",DJPA
11/19/19,"DJ pressetext.de: Facebook-Werbung lockt Anwender in die Trojaner-Falle - ESET entdeckt eine bisher unbekannte Malware, die es auf Banking-Kunden abgesehen hat",DJPA
11/18/19,MEDIA ADVISORY: Facebook and Edmonton Chamber of Commerce to host workshop for Edmonton businesses,CNW
11/13/19,"Facebook, Inc.(FB-US) Schedules Telecom Infra Project Summit for 13-November-2019 10:25 AM ET",FCSTEV
11/13/19,"Facebook, Inc.(FB-US) Schedules Telecom Infra Project Summit for 13-November-2019 9:45 AM ET",FCSTEV
11/12/19,DJ Press Release: Cornerstone Joins Forces with Facebook to Enhance the Value of Virtual Reality Training at Work,DJGM
11/07/19,DJ Press Release: Facebook Helps to Protect the 2020 -2-,DJGM
11/07/19,DJ Press Release: Facebook Helps to Protect the 2020 US Elections,DJGM
11/07/19,Facebook Helps to Protect the 2020 US Elections,PRN
10/30/19,DJ Press Release: Dr. Susan Desmond-Hellmann Departs Facebook Board of Directors,DJGM
10/30/19,DJ Press Release: Facebook Reports Third Quarter 2019 Results,DJGM
10/30/19,DJ Press Release: Facebook Reports Third Quarter -2-,DJGM
10/30/19,Facebook Reports Third Quarter 2019 Results,PRN
10/29/19,DJ Press Release: NSO Group Statement on Facebook Lawsuit,DJGM
10/22/19,DJ Press Release: Attorney General James Gives Update on Facebook Antitrust Investigation,DJGM
10/21/19,DJ Press Release: Fitch Rtgs: Facebook's Libra -2-,DJGM
10/21/19,"DJ Press Release: Fitch Rtgs: Facebook's Libra Likely to Face Global Bank, Anti-Trust Rules",DJGM
10/21/19,"Headline: DJ Fitch Rtgs: Facebook's Libra Likely to Face Global Bank, Anti-Trust Rules",DJGM
10/15/19,"Facebook, Inc.(FB-US) Schedules Linley Fall Processor Conference for 23-October-2019",FCSTEV
10/10/19,"Facebook, Inc.(FB-US) Schedules MarketplaceLIVE Conference for 7-November-2019",FCSTEV
10/03/19,"Facebook, Inc.(FB-US) Schedules Q3 2019 Earnings Call for 30-October-2019 5:00 PM ET",FCSTEV
10/01/19,"Facebook, Inc.(FB-US) Schedules Q3 2019 Earnings Release for 30-October-2019 4:05 PM ET",FCSTEV
10/01/19,Facebook to Announce Third Quarter 2019 Results,PRN
09/11/19,DJ pressetext.de: Facebook hilft Influencern mit eigenen Tools - Bekannte User durch gemeinsame Storys und Empfehlungen im News-Feed mehr im Rampenlicht,DJPA
09/03/19,"Facebook, Inc.(FB-US) Schedules IBC Conference for 16-September-2019",FCSTEV
08/21/19,"Facebook, Inc.(FB-US) Schedules Arm Tech Conference for 8-October-2019",FCSTEV
07/24/19,Facebook Reports Second Quarter 2019 Results,PRN
07/02/19,Unfriend Facebook ad campaign launched,CNW
07/01/19,"Facebook, Inc.(FB-US) Schedules Q2 2019 Earnings Call for 24-July-2019 5:00 PM ET",FCSTEV
07/01/19,"Facebook, Inc.(FB-US) Schedules Q2 2019 Earnings Release for 24-July-2019 4:05 PM ET",FCSTEV
07/01/19,Facebook to Announce Second Quarter 2019 Results,PRN
06/19/19,"Facebook, Inc.(FB-US) Schedules Media, Entertainment and Technology Alliance Conference for 20-June-2019",FCSTEV
06/06/19,Media Advisory: Facebook Canada brings 'Civic Boost' tour to Vancouver and Calgary,CNW
06/05/19,"Facebook, Inc.(FB-US) Schedules AI Summit for 12-June-2019",FCSTEV
05/27/19,Facebook Canada Launches Local News Accelerator with 11 Participants from Across the Country,CNW
05/07/19,"Facebook, Inc.(FB-US) Schedules QTS Richmond Network Access Point Summit for 7-May-2019 10:00 AM ET",FCSTEV
05/06/19,"Facebook, Inc.(FB-US) Schedules Lightspeed Connect Conference for 11-June-2019",FCSTEV
04/25/19,"Facebook refuses to address serious privacy deficiencies despite public apologies for ""breach of trust""",PRN
04/24/19,Facebook Reports First Quarter 2019 Results,PRN
04/16/19,"Facebook, Inc.(FB-US) Schedules Annual General Meeting for 30-May-2019 2:00 PM ET",FCSTEV
04/12/19,"Facebook, Inc.(FB-US) Schedules QTS Richmond Network Access Point Summit for 7-May-2019",FCSTEV
04/12/19,Peggy Alford Nominated to Facebook Board of Directors,PRN
04/03/19,"DJ pressetext.de: WhatsApp startet Check-Hotline fŸr Fake News - Nutzer in Indien k_nnen ab sofort verd_chtige Meldungen, Fotos und Videos prŸfen lassen",DJPA
04/01/19,"Facebook, Inc.(FB-US) Schedules Q1 2019 Earnings Call for 24-April-2019 5:00 PM ET",FCSTEV
04/01/19,"Facebook, Inc.(FB-US) Schedules Q1 2019 Earnings Release for 24-April-2019 4:05 PM ET",FCSTEV
04/01/19,Facebook to Announce First Quarter 2019 Results,PRN
03/18/19,Refresh Your Home and Turn Clutter into Cash with Facebook Marketplace,PRN
02/28/19,"Facebook, Inc.(FB-US) Schedules Optical Networking and Communication Conference - Panel for 6-March-2019 4:30 PM ET",FCSTEV
02/19/19,"Facebook, Inc.(FB-US) Schedules Morgan Stanley TMT Conference for 26-February-2019 3:00 PM ET",FCSTEV
02/19/19,"Facebook to Participate in the Morgan Stanley 2019 Technology, Media & Telecom Conference",PRN
02/12/19,"Largest Study Of Mobile Ad Networks Ranks Facebook, Google, Snap, Twitter, Unity ... And New Players",PRNE
01/30/19,Facebook Reports Fourth Quarter and Full Year 2018 Results,PRN
01/24/19,"Facebook, Inc.(FB-US) Schedules Inventures Conference for 5-June-2019",FCSTEV
01/16/19,"Facebook, Inc.(FB-US) Schedules MariaDB User Conference for 25-February-2019",FCSTEV
01/09/19,DJ pressetext.de: Facebook liefert genauere Migrantenzahlen - Statistiken in Gro§britannien laut Think Tank Social Market Foundation weit weg von Realit_t,DJPA
01/08/19,DJ pressetext.de: Facebook: Vergleich mit anderen macht krank - Kleinere Beschwerden werden bei mangelndem Selbstvertrauen h_ufig st_rker wahrgenommen,DJPA
01/02/19,"Facebook, Inc.(FB-US) Schedules Q4 2018 Earnings Call for 30-January-2019 5:00 PM ET",FCSTEV
01/02/19,"Facebook, Inc.(FB-US) Schedules Q4 2018 Earnings Release for 30-January-2019 4:05 PM ET",FCSTEV
01/02/19,Facebook to Announce Fourth Quarter and Full Year 2018 Results,PRN
12/20/18,DJ pressetext.de: Facebook ist Nutzern Ÿber 1.000 Dollar wert - Wirtschaftswissenschaftler haben Sch_tzung von Menschen mithilfe von Auktionen entlockt,DJPA
12/11/18,"Facebook, Inc.(FB-US) Schedules eTail Asia Conference for 5-March-2019",FCSTEV
12/04/18,"Facebook, Inc.(FB-US) Schedules Brainstorm Design Conference for 5-March-2019",FCSTEV
11/14/18,"Facebook, Inc.(FB-US) Schedules IRPA AI Automation Innovation Conference for 29-November-2018",FCSTEV
11/14/18,People Raise Over $1 Billion for Causes on Facebook,PRN
11/12/18,RentBoard.ca Announces Integration with Facebook Marketplace,PMZ
11/05/18,DJ pressetext.de: Kampf gegen Fake News noch nicht gewonnen - BemŸhungen sozialer Nezwerke laut Wissenschaftlern unzureichend - Profitstreben in der Kritik,DJPA
10/30/18,Facebook Reports Third Quarter 2018 Results,PRN
10/19/18,"Facebook, Inc.(FB-US) Schedules HR Shared Services and Outsourcing Summit for 23-October-2018",FCSTEV
10/19/18,"Facebook, Inc.(FB-US) Schedules NVIDIA GPU Technology Conference for 22-October-2018",FCSTEV
10/03/18,Today's Research Reports on Trending Tickers: Facebook and Baidu,NEWS_ACW
10/01/18,"Facebook, Inc.(FB-US) Schedules Q3 2018 Earnings Call for 30-October-2018 5:00 PM ET",FCSTEV
10/01/18,"Facebook, Inc.(FB-US) Schedules Q3 2018 Earnings Release for 30-October-2018 4:05 PM ET",FCSTEV
10/01/18,Facebook to Announce Third Quarter 2018 Results,PRN
09/18/18,"The Law Offices of Howard G. Smith Reminds Investors of Looming Deadline in the Class Action Lawsuit Against Facebook, Inc. (FB)",BW
09/12/18,DJ Nepa AB (publ): Nepa Marketing Mix Modelling Research Leverages Facebook Data to Optimize Media Spending,DJCN
08/23/18,"WIRE NOTICE: Rosen Law Firm Announces Filing of Securities Class Action Lawsuit Against Facebook, Inc.; Important Deadline - FB",PRN
08/14/18,"NOTICE FB: Rosen Law Firm Announces Filing of Securities Class Action Lawsuit Against Facebook, Inc. - FB",PMZ
08/09/18,Looking for a mentor or mentee? Look no further than Facebook Groups,PRN
08/02/18,"The Klein Law Firm Reminds Investors of Class Actions on Behalf of Shareholders of GLNCY, GLCNF, UNM and FB",PMZ
08/02/18,Facebook Chooses TreSensa as Playable Ad Partner,PMZ
07/30/18,"SHAREHOLDER ALERT - Bronstein, Gewirtz & Grossman, LLC Notifies Investors of Class Action Against Facebook, Inc. (FB) and Lead Plaintiff Deadline - September 25, 2018",PRN
07/25/18,Facebook Reports Second Quarter 2018 Results,PRN
07/19/18,DJ pressetext.de: Mark Zuckerberg l_sst Holocaust-Leugner gew_hren - Kein L_schen von Facebook-Postings - Meinungsfreiheit decke Aussagen,DJPA
07/05/18,"Google, Amazon, Facebook and Apple Propel the Life Sciences Industry with Strategic Partnerships",CNW
07/04/18,DJ pressetext.de: Facebook l_scht US-Unabh_ngigkeitserkl_rung - Vermeintliche Hassrede: Algorithmus sortiert Paragraph 27 bis 31 aus,DJPA
07/02/18,"Facebook, Inc.(FB-US) Schedules Q2 2018 Earnings Call for 25-July-2018 5:00 PM ET",FCSTEV
07/02/18,"Facebook, Inc.(FB-US) Schedules Q2 2018 Earnings Release for 25-July-2018 4:05 PM ET",FCSTEV
07/02/18,Facebook to Announce Second Quarter 2018 Results,PRN
06/27/18,Facebook Launches Third-Party Fact-Checking Program in Canada,CNW
05/28/18,"Full Page ""Dear Facebook"" Letter In The New York Times from MeWe, the Competitor Mark Zuckerberg Refuses to Name",PRN
05/28/18,"DJ pressetext.de: Facebook: Chips fŸr Echtzeit-Eingriff in Live-Videos - Suizid, Mord und andere Gef_hrdungen ""schnell und effizient erkennen""",DJPA
05/27/18,"DJ pressetext.de: Zigaretten weg: Facebook hilfreich bei Tabakentzug - Social Media bietet 2,5 Mal h_here Chance, mit dem Rauchen aufzuh_ren",DJPA
05/23/18,Handy Teams Up with Facebook Marketplace to Make Booking Home Services a Cinch,PMZ
05/20/18,"FACEBOOK 24 HOUR DEADLINE ALERT: Approximately 24 Hours Remain; ClaimsFiler Reminds Investors of Deadline in Class Action Lawsuit Against Facebook, Inc. - FB",BW
05/18/18,"FACEBOOK 72 HOUR DEADLINE ALERT: Approximately 72 Hours Remain; Former Louisiana Attorney General and Kahn Swick & Foti, LLC Remind Investors of Deadline in Class Action Lawsuit Against Facebook, Inc. - FB",BW
05/17/18,"The Law Offices of Howard G. Smith Reminds Investors of Looming Deadline in the Class Action Lawsuit Against Facebook, Inc. (FB)",PMZ
05/15/18,"SHAREHOLDER ALERT - Bronstein, Gewirtz & Grossman, LLC Reminds Investors With Losses Exceeding $100K of Class Action Against Facebook, Inc. (FB) and Lead Plaintiff Deadline: May 21, 2018",PMZ
05/14/18,"The Law Offices of Howard G. Smith Reminds Investors of Looming Deadline in the Class Action Lawsuit Against Facebook, Inc. (FB)",BW
05/12/18,"FINAL DEADLINE ALERT:ÊBrower Piven Reminds Shareholders Of Approaching Deadline In Class Action Lawsuit And Encourages Those Who Have Losses In Excess Of $100,000 From Investment In Facebook, Inc. (Nasdaq: FB) To Contact The Firm",PMZ
05/11/18,"FACEBOOK SHAREHOLDER ALERT: CLAIMSFILER REMINDS INVESTORS WITH LOSSES IN EXCESS OF $100,000 of Lead Plaintiff Deadline in Class Action Lawsuit Against Facebook, Inc. - FB",PMZ
05/11/18,"Glancy Prongay & Murray LLP Reminds Investors of the Deadline in the Class Action Lawsuit Against Facebook, Inc. (FB)",PMZ
05/09/18,"Glancy Prongay & Murray LLP Reminds Investors of the Deadline in the Class Action Lawsuit Against Facebook, Inc. (FB)",BW
05/08/18,More Ways to Share Gratitude and Celebrate Mom This Mother's Day,PRN
05/07/18,Business Sweden:  Facebook Expands in LuleŒ - Confirming Sweden as a World-class Destination for Data Centers,PRN
05/06/18,"FB LOSS ALERT: Rosen Law Firm Reminds Facebook, Inc. Investors of Important Deadline in Class Action - FB",PMZ
05/04/18,"FACEBOOK SHAREHOLDER ALERT BY FORMER LOUISIANA ATTORNEY GENERAL: KAHN SWICK & FOTI, LLC REMINDS INVESTORS WITH LOSSES IN EXCESS OF $100,000 of Lead Plaintiff Deadline in Class Action Lawsuit Against Facebook, Inc. - FB",PMZ
05/03/18,"FB INVESTOR ALERT: Law Offices of Howard G. Smith Announces the Filing of a Securities Class Action on Behalf of Facebook, Inc. Investors",BW
05/03/18,Siskinds LLP Announces the Filing of Privacy Breach Class Action against Facebook and Facebook Canada,CNW
05/02/18,"SHAREHOLDER ALERT: Pomerantz Law Firm Reminds Shareholders with Losses on their Investment in Facebook, Inc. of Class Action Lawsuit and Upcoming Deadline - FB",BW
04/27/18,"FACEBOOK SHAREHOLDER ALERT: ClaimsFiler Reminds Investors with Losses in Excess of $100,000 of Lead Plaintiff Deadline in Class Action Lawsuit Against Facebook, Inc. - FB",BW
04/27/18,"The Klein Law Firm Reminds Investors of a Class Action Filed on Behalf of Facebook, Inc. Shareholders and a Lead Plaintiff Deadline of May 21, 2018 (FB)",PMZ
04/27/18,Facebook Introduces New Tools to Make Fundraisers Even More Impactful,PRN
04/25/18,Facebook Reports First Quarter 2018 Results,PRN
04/25/18,"SHAREHOLDER ALERT: Pomerantz Law Firm Reminds Shareholders with Losses on their Investment in Facebook, Inc. of Class Action Lawsuit and Upcoming Deadline - FB",BW
04/25/18,"Facebook, Inc. Class A to Host Earnings Call",NEWS_ACW
04/25/18,"FB LOSS ALERT: Rosen Law Firm Announces Filing of Securities Class Action Lawsuit Against Facebook, Inc. - FB",PMZ
04/23/18,"LEAD PLAINTIFF DEADLINE ALERT: Faruqi & Faruqi, LLP Encourages Investors Who Suffered Losses Exceeding $100,000 in Facebook, Inc. to Contact the Firm",BW
04/23/18,"INVESTOR ALERT: Levi & Korsinsky, LLP Reminds Shareholders of Facebook, Inc. of a Class Action Lawsuit and a Lead Plaintiff Deadline of May 21, 2018 - FB",PMZ
04/22/18,"DEADLINE ALERT: Brower Piven Reminds Investors of Upcoming Deadline in Class Action Lawsuit and Encourages Those Who Have Losses in Excess of $100,000 from Investment in Facebook, Inc. to Contact the Firm",BW
04/17/18,"Facebook, Inc.(FB-US) Schedules Annual General Meeting for 31-May-2018 2:00 PM ET",FCSTEV
04/16/18,"Detailed Research: Economic Perspectives on General Dynamics, Garmin, Walgreens Boots Alliance, The Home Depot, Facebook, and Apple - What Drives Growth in Today's Competitive Landscape",PMZ
04/13/18,"FACEBOOK SHAREHOLDER ALERT by Former Louisiana Attorney General: Kahn Swick & Foti, LLC Reminds Investors with Losses in Excess of $100,000 of Lead Plaintiff Deadline in Class Action Lawsuit against Facebook, Inc. - FB",BW
04/12/18,"DJ pressetext.de: Instagram und Facebook verleiten zum Hauskauf - Millennials erwerben Eigentum aus Angst, etwas zu verpassen",DJPA
04/11/18,"EQUITY NOTICE: Rosen Law Firm Announces Filing of Securities Class Action Lawsuit Against Facebook, Inc. - FB",PRN
04/11/18,"SHAREHOLDER ALERT: Pomerantz Law Firm Reminds Shareholders with Losses on their Investment in Facebook, Inc. of Class Action Lawsuit and Upcoming Deadline - FB",PRN
04/10/18,"The Klein Law Firm Reminds Investors of Commencement of a Class Action Filed on Behalf of Facebook, Inc. Shareholders and a Lead Plaintiff Deadline of May 21, 2018",BW
04/10/18,"SHAREHOLDER ALERT - Bronstein, Gewirtz & Grossman, LLC Reminds Investors of Class Action Against Facebook, Inc. (FB) & Lead Plaintiff Deadline: May 21, 2018",PMZ
04/10/18,Class Action Lawsuit Filed Against Facebook And Cambridge Analytica For Stealing And Improperly Using More Than 71 Million Users' Data,PRN
04/09/18,Hagens Berman: Facebook Hit with Class-Action Lawsuit Following Massive User Data Scandal,BW
04/09/18,"FB EQUITY ALERT: The Law Offices of Vincent Wong Reminds Investors of a Class Action Involving Facebook, Inc. and a Lead Plaintiff Deadline of May 21, 2018",BW
04/09/18,"Bernstein Litowitz Berger & Grossmann LLP and Labaton Sucharow LLP Announce a Proposed Settlement of the Facebook, Inc. IPO Securities Litigation",PRN
04/07/18,"SHAREHOLDER ALERT:  Pomerantz Law Firm Reminds Shareholders with Losses on their Investment in Facebook, Inc. of Class Action Lawsuit and Upcoming Deadline - FB",PMZ
04/06/18,"FACEBOOK SHAREHOLDER ALERT: CLAIMSFILER Reminds Investors with Losses in Excess of $100,000 of Lead Plaintiff Deadline in Class Action Lawsuit Against Facebook, Inc. - FB",PMZ
04/06/18,"Hagens Berman Updates Facebook Investors About the Expanded Class Period and Reminds Investors of the May 21, 2018 Lead Plaintiff Deadline",PMZ
04/05/18,"EQUITY ALERT: Levi & Korsinsky, LLP Reminds Shareholders of Facebook, Inc. of Commencement of a Class Action Lawsuit and a Lead Plaintiff Deadline of May 21, 2018",BW
04/04/18,"Bragar Eagel & Squire, P.C. Reminds Investors That a Class Action Lawsuit Has Been Filed Against Facebook, Inc. (FB) and Encourages Investors to Contact the Firm",BW
04/04/18,"The Klein Law Firm Announces Commencement of a Class Action Filed on Behalf of Facebook, Inc. Shareholders and a Lead Plaintiff Deadline of May 21, 2018",BW
04/03/18,"The Klein Law Firm Announces a Class Action Filed on Behalf of Facebook, Inc. Shareholders and a Lead Plaintiff Deadline of May 21, 2018",PMZ
04/03/18,"LEAD PLAINTIFF DEADLINE ALERT: Faruqi & Faruqi, LLP Encourages Investors Who Suffered Losses Exceeding $100,000 In Facebook, Inc. To Contact The Firm",PRN
04/02/18,"Facebook, Inc.(FB-US) Schedules Q1 2018 Earnings Call for 25-April-2018 5:00 PM ET",FCSTEV
04/02/18,"Facebook, Inc.(FB-US) Schedules Q1 2018 Earnings Release for 25-April-2018 4:05 PM ET",FCSTEV
04/02/18,Facebook to Announce First Quarter 2018 Results,PRN
04/02/18,"FB INVESTOR ALERT: The Law Offices of Vincent Wong Notifies Investors of a Class Action Involving Facebook, Inc. and a Lead Plaintiff Deadline of May 21, 2018",BW
04/01/18,"FB SHAREHOLDER ALERT: The Law Offices of Vincent Wong Notifies Investors of Commencement of a Class Action Involving Facebook, Inc. and a Lead Plaintiff Deadline of May 21, 2018",PMZ
