GOOGLdate,GOOGLnews,GOOGLsource
10/14/20,DJ Press Release: Nokia and Google Cloud sign -3-,DJGM
10/14/20,DJ Press Release: Nokia and Google Cloud sign strategic collaboration to transform Nokia's digital infrastructure,DJGM
10/14/20,DJ Press Release: Nokia and Google Cloud sign -2-,DJGM
10/12/20,"DJ Press Release: Total and Google Cloud Develop Solar Mapper, a Tool for Estimating the Solar Energy Potential of Houses' Roofs",DJGM
10/08/20,DJ Moody's Announces Completion Of A Periodic Review Of Ratings Of Alphabet Inc.,DJGM
10/06/20,DJ Press Release: Tobii Dynavox and Google collaborate to make technology more accessible,DJGM
10/01/20,"Alphabet, Inc.(GOOGL-US) Schedules Q3 2020 Earnings Call for 29-October-2020 4:30 PM ET",FCSTEV
10/01/20,"Alphabet, Inc.(GOOGL-US) Schedules Q3 2020 Earnings Release for 29-October-2020 After Market Hours ET",FCSTEV
09/30/20,DJ Press Release: Preorder the Google Pixel 5 at UScellular on October 8,DJGM
09/30/20,DJ Press Release: YouTube TV To Discontinue Carriage Of Sinclair Regional Sports Networks As Discussions Continue,DJGM
09/23/20,"DJ Press Release: Norfolk Southern finding ""Waze"" to promote rail safety",DJGM
09/23/20,DJ Press Release: Rackspace Technology supports gohenry's global expansion with migration to Google Cloud,DJGM
09/22/20,DJ Press Release: Google Cloud and Anaplan Innovate to Transform Enterprise Planning,DJGM
09/18/20,DJ Press Release: Choose Your Own Adventure and Google Collaborate to Launch E-Books for Younger Readers,DJGM
09/17/20,DJ Press Release: ADT Announces Closing of $450 Million Investment by Google,DJGM
09/16/20,DJ Press Release: SensiML Integrates Google's TensorFlow Lite for Microcontrollers,DJGM
09/15/20,"DJ Press Release: EDF, NASA, DRI and Google Announce -2-",DJGM
09/15/20,"DJ Press Release: EDF, NASA, DRI and Google Announce Web Application to Transform Water Management in the Western United States",DJGM
09/15/20,DJ Press Release: S&P 500 Buybacks Decline 55.4% to -3-,DJGM
09/15/20,DJ Press Release: S&P 500 Buybacks Decline 55.4% to -2-,DJGM
09/15/20,DJ Press Release: S&P 500 Buybacks Decline 55.4% to $88.7 Billion; Significant Reductions Expected to continue in Q3 2020,DJGM
09/10/20,DJ Press Release: Kaleyra Launches Verified Calls Services for Google,DJGM
09/03/20,Google LLC(GOOAV-US) Schedules The Premier Dev Conference for 19-October-2020,FCSTEV
09/02/20,"DJ Press Release: Sezzle Activates Google Pay and Apple Pay, Extending its Reach into In-Store Retail",DJGM
08/27/20,DJ Press Release: Ware2Go Integrates With Google to Deliver 'Free and Fast' Shipping Commitments to Online Shoppers,DJGM
08/27/20,DJ Press Release: Google Cloud and STS to Automate U.S. Navy Maintenance Inspections Using AI and ML Technology,DJGM
08/27/20,DJ Press Release: Rackspace Technology and Google Cloud deliver retail sales and marketing efficiency for Eagle Eye,DJGM
08/25/20,Headline: DJ S&PGR Report: US Big Tech Faces Regulatory Scrutiny,DJGM
08/25/20,DJ Press Release: S&PGR Report: US Big Tech Faces Regulatory Scrutiny,DJGM
08/24/20,DJ Press Release: Google Cloud and Amwell Partner to Transform and Expand Access to Virtual Care,DJGM
08/18/20,"Hagens Berman: Android App Developers Sue Google Claiming Play Store Illegally Monopolizes Markets for Android App Distribution and In-App Payment Processing, Violates Antitrust Laws",BW
08/06/20,DJ Press Release: Equinix Becomes a Google Cloud Premier Partner,DJGM
08/05/20,DJ Press Release: Bricks 4 Kidz eLearning Announces Inclusion in Google's Small Business Supplier Diversity Program,DJGM
08/04/20,DJ Press Release: Domo Enhances its COVID-19 Global Tracker with Google and Apple Mobility Trends,DJGM
08/04/20,DJ Press Release: Google Cloud Partners with Best Buy to Deliver Improved Customer Experience,DJGM
08/03/20,DJ Moody's Assigns Aa2 Rating To Alphabet's Proposed New Senior Unsecured Notes,DJGM
08/03/20,Headline: DJ S&PGR Rates Alphabet's Proposed Unsecured Notes 'AA+',DJGM
08/03/20,DJ Press Release: S&PGR Rates Alphabet's Proposed Unsecured Notes 'AA+',DJGM
08/03/20,DJ Press Release: Gear4 Launches Cases for New Google Pixel 4a Phone,DJGM
08/03/20,DJ Press Release: U.S. Cellular Launching Google Pixel 4a on August 20,DJGM
08/03/20,DJ Press Release: BankMobile Announces a Collaboration with Google to Offer Digital Bank Accounts,DJGM
08/03/20,DJ Press Release: BMO among Select U.S. Banks to Offer Digital Accounts Managed Via Google Pay,DJGM
08/03/20,DJ Press Release: ADT and Google Partner To Create Leading Smart Home Security Offering,DJGM
07/30/20,Moonbug Entertainment Acquires YouTube Sensations CoComelon and Blippi to Become World's Largest Digital Kids Media Company,PRNE
07/28/20,DJ Press Release: Promethean Joins Google for Education Partner Program,DJGM
07/28/20,"DJ Press Release: Orange and Google Cloud to form strategic partnership in data, AI and edge computing services",DJGM
07/23/20,DJ Press Release: Box and Google Cloud Deepen Strategic Partnership to Transform Work in the Cloud,DJGM
07/16/20,DJ Press Release: eGain Adds Google's Business Messages support to its Messaging Hub,DJGM
07/15/20,DJ Press Release: Digital Reasoning and Google Cloud Announce Global Strategic Partnership to Deliver Financial Services Solutions in the Cloud,DJGM
07/14/20,Google Cloud Demonstrates Enterprise Customer Momentum at Next '20: OnAir,PRN
07/14/20,DJ Press Release: Afterpay and Google Pay Deliver Buy-Now-Pay-Later Payments for Brick-and-Mortar Retailers,DJGM
07/13/20,DJ Press Release: Verizon powers intuitive customer experiences with Google Cloud,DJGM
07/08/20,"Alphabet, Inc.(GOOGL-US) Schedules Q2 2020 Earnings Release for 30-July-2020 After Market Hours ET",FCSTEV
07/08/20,"Alphabet, Inc.(GOOGL-US) Schedules Q2 2020 Earnings Call for 30-July-2020 4:30 PM ET",FCSTEV
07/07/20,DJ Press Release: Schwab Announces Action on Google Integration,DJGM
06/30/20,DJ Press Release: Perficient Earns Google Cloud Premier Partner Status,DJGM
06/30/20,DJ Press Release: IEIC Welcomes Netskope as a Founding Member,DJGM
06/30/20,IEIC Welcomes Netskope as a Founding Member,PRN
06/29/20,"DJ Press Release: OnTech Smart Services expands partnership with Google, Nest installation booking capability now available via Google Store",DJGM
06/26/20,DJ Press Release: LivePerson integrates with Google's Business Messages to help brands connect with customers directly from Google Search and Maps,DJGM
06/17/20,DJ Press Release: Attorney General Tong Asks Apple and Google to Ensure All Contact Tracing Apps Serve a Public Health Purpose,DJGM
06/04/20,DJ Press Release: HCL and Google Cloud Expand Partnership to Digitally Transform Commerce,DJGM
06/01/20,Dr. Vint Cerf to Deliver Keynote Address for IEIC Virtual Summit Series Event I,PRN
05/28/20,DJ Press Release: AEEC-Google COVID-19 Solutions,DJGM
05/26/20,DJ Press Release: IEIC Welcomes Akamai as New Founding Member,DJGM
05/26/20,IEIC Welcomes Akamai as New Founding Member,PRN
05/22/20,DJ Press Release: RESAAS Announces Addition of YouTube Live for Virtual Showcase,DJGM
05/20/20,DJ Press Release: Dell Technologies Cloud and Google Cloud Launch Hybrid Storage Solution,DJGM
05/20/20,DJ Press Release: Dell Technologies Cloud and Google -2-,DJGM
05/13/20,Alphabet's Loon and Vodacom partner to increase rural internet access in Mozambique,PMZ
05/13/20,DJ Press Release: Alphabet's Loon and Vodacom partner to increase rural internet access in Mozambique,DJGM
05/12/20,DJ Press Release: Internet Ecosystem Innovation Committee Announces Virtual Summit Series Featuring Industry Luminaries,DJGM
05/10/20,DJ Press Release: IEIC Welcomes Uber Technologies as New Founding Member,DJGM
05/07/20,DJ Press Release: ViacomCBS and Google Announce Expanded Distribution Agreement,DJGM
05/06/20,DJ Press Release: Qualys Announces General Availability of Qualys Cloud Agent on Google Cloud,DJGM
05/05/20,DJ Press Release: Google Cloud and Splunk Announce Strategic Partnership to Help Customers Gain Deeper Insights from Data,DJGM
05/05/20,DJ Press Release: Worldpay from FIS Enables One-Click Google Pay Integration for Merchants,DJGM
04/29/20,DJ Press Release: HAPS Alliance Members Outline Commercial Opportunity in Earth's Stratosphere,DJGM
04/29/20,"Google Meet premium video conferencing free for everyone, everywhere",PRN
04/28/20,DJ Press Release: Electronic Arts and Google Announce Partnership to Bring EA Games to Stadia,DJGM
04/27/20,DJ Press Release: Google and AudioCodes Collaborate to Bring Telephony Voice Services to Google Dialogflow Virtual Agents,DJGM
04/26/20,"Alphabet, Inc.(GOOGL-US) Schedules Annual General Meeting for 3-June-2020 12:00 PM ET",FCSTEV
04/23/20,DJ Press Release: NetBet UK & IE Integrates Google Pay,DJGM
04/20/20,"Alphabet, Inc.(GOOGL-US) Schedules Q1 2020 Earnings Call for 28-April-2020 4:30 PM ET",FCSTEV
04/20/20,"Alphabet, Inc.(GOOGL-US) Schedules Q1 2020 Earnings Release for 28-April-2020 After Market Hours ET",FCSTEV
03/25/20,DJ Press Release: Primo Nutraceuticals Inc. Provides Updates on Company via YouTube Channel,DJGM
03/23/20,DJ Press Release: T-Mobile and YouTube Team Up to Give Un-carrier Customers Free YouTube Premium for Two Months,DJGM
03/10/20,Lloyds Banking Group collaborates with Google Cloud,PRN
03/09/20,DJ Press Release: Appian Announces Expanded Partnership with Google Cloud,DJGM
03/05/20,"DJ Press Release: Sinclair Broadcast Group, YouTube TV Renew Licenses on 19 Regional Sports Networks, Ensuring Continued Access for Millions of Fans",DJGM
03/05/20,"DJ Press Release: Google Cloud Unveils Strategy for Telecommunications Industry, Announces New Solutions, Customers, and Partners",DJGM
03/05/20,DJ Press Release: AT&T and Google Cloud Team Up to Enable Network Edge 5G Computing Solutions for Enterprises,DJGM
03/05/20,DJ Press Release: Amdocs and Google Cloud Announce Strategic Partnership to Accelerate Communication Providers' Journeys to the Cloud,DJGM
02/24/20,"DJ Press Release: Kinetic by Windstream, YouTube TV Announce Partnership",DJGM
02/20/20,DJ Press Release: CrowdStrike Announces Automated Sensor Deployment for Falcon on Google Cloud,DJGM
02/18/20,DJ Press Release: Pure Joins Google Cloud Anthos Ready Storage Initiative,DJGM
02/18/20,DJ Press Release: AMD EPYC(TM) Cloud Adoption Grows with Google Cloud,DJGM
02/13/20,"Alphabet, Inc.(GOOGL-US) Schedules Morgan Stanley Technology Media & Telecom Conference for 2-March-2020 6:00 PM ET",FCSTEV
02/06/20,"DJ Press Release: Carttera and Google Sign a 400,000 sf Long-term Office Lease at 65 King East, Toronto",DJGM
01/31/20,"Thinking about trading options or stock in Amazon.com, Caterpillar, Alphabet Inc, PayPal, or Western Digital Corp?",PRN
01/29/20,DJ Press Release: Know Labs Formally Announces its YouTube Channel,DJGM
01/29/20,DJ Press Release: Temenos and Google Cloud Announce Global Strategic Partnership to Accelerate Banks' Digital Transformation in the Cloud,DJGM
01/24/20,Activision Blizzard And Google Enter Into Multi-Year Strategic Relationship To Power New Player Experiences,PRN
01/24/20,"Alphabet, Inc.(GOOGL-US) Schedules Goldman Sachs Technology & Internet Conference for 11-February-2020 11:55 AM ET",FCSTEV
01/21/20,DJ Press Release: Sabre forges 10-year partnership with Google to build the future of travel,DJGM
01/09/20,"Alphabet, Inc.(GOOGL-US) Schedules Q4 2019 Earnings Call for 3-February-2020 5:00 PM ET",FCSTEV
01/09/20,"Alphabet, Inc.(GOOGL-US) Schedules Q4 2019 Earnings Release for 3-February-2020 After Market Hours ET",FCSTEV
01/07/20,DJ Press Release: Renesas Electronics' High-Efficiency Power Management IC Adopted in Google Coral AI Products,DJGM
12/23/19,Verily Partners with Emory Healthcare to Analyze Medication and Lab Ordering Patterns for Improved Cost-Effectiveness and Operational Efficiency,BW
12/20/19,DJ Press Release: DISH introduces Google Nest Hello to the Hopper platform,DJGM
12/18/19,Industry Stakeholders Reach Consensus on Propagation Models and Interference Protection Criteria for Spectrum Sharing in the 6 GHz Band,BW
12/17/19,DJ Press Release: S&P 500 buybacks reverse declines -2-,DJGM
12/17/19,DJ Press Release: S&P 500 buybacks reverse declines in Q3 2019; expenditures remain lower than the 2018 levels,DJGM
12/17/19,"DJ Press Release: In partnership with Atos, Damart innovates by launching its voice application via Google Assistant",DJGM
12/16/19,DJ Press Release: McAfee and Google Cloud Announce Partnership to Integrate McAfee Security Solutions with Google Cloud Platform,DJGM
12/16/19,DJ Press Release: Google Cloud and Palo Alto Networks Expand Strategic Partnership,DJGM
12/16/19,DJ Press Release: Fortinet Tightens Partnership with Google Cloud to Provide Advanced Cloud Security and Accelerate the Cloud On-Ramp,DJGM
12/12/19,DJ Press Release: Bandwidth brings Verified SMS by Google to market with customers KAYAK and Fivestars,DJGM
12/05/19,Wireless Innovation Forum Announces 2019 Innovation Award Winners and Welcomes Four New Board of Directors Members at Annual Meeting ,BW
11/26/19,DJ Press Release: Best Google Pixel 3 & 4 Black Friday 2019 Deals: Contract & Unlocked Google Pixel Cell Phone Savings Compared by Save Bubble,DJGM
11/26/19,"DJ Press Release: ""Hey Google, ask WestJet...""",DJGM
11/21/19,DJ Press Release: cPacket Networks to Offer Cloud Visibility Service with Google Cloud,DJGM
11/20/19,DJ Press Release: NetApp and Google Cloud Advance Strategic Partnership to Drive Innovation in the Cloud,DJGM
11/20/19,NetApp and Google Cloud Advance Strategic Partnership to Drive Innovation in the Cloud,BW
11/19/19,DJ Press Release: Iron Mountain Extends Digital Capabilities for Companies in Various Stages of Transformation at Google Cloud Next London,DJGM
11/18/19,DJ Press Release: Eros Now Announces Collaboration with YouTube Music,DJGM
11/14/19,"DJ Press Release: Xero unveils deeper integrations with Microsoft Office 365, Google, HubSpot and more to solve the small business data silo",DJGM
11/14/19,DJ Press Release: The Google Pixel 4 and the Google Pixel 4 XL are Now Available on Quality One Managed Partner Websites,DJGM
11/12/19,DJ Press Release: Synaptics VideoSmart SoC Approved for Widevine CAS on Android TV Platforms,DJGM
11/11/19,DJ Moody's Announces Completion Of A Periodic Review Of Ratings Of Alphabet Inc.,DJGM
11/11/19,DJ Press Release: Google News Initiative Partners with Lee Enterprises and TownNews on Dynamic Paywall,DJGM
11/06/19,DJ Press Release: AES and Google Create Strategic Alliance to Accelerate the Future of Energy,DJGM
11/01/19,DJ Press Release: Fitbit to Be Acquired by Google,DJGM
10/31/19,DJ Press Release: HCL Technologies Launches a Dedicated Google Cloud Business Unit to Accelerate Enterprise Cloud Adoption,DJGM
10/31/19,HCL Technologies Launches a Dedicated Google Cloud Business Unit to Accelerate Enterprise Cloud Adoption,BW
10/30/19,DJ Press Release: SiriusXM Coming to the Google Assistant,DJGM
10/30/19,"DJ Press Release: Amazon, Microsoft, Google and Alibaba Strengthen their Grip on the Public Cloud Market",DJGM
10/29/19,6 Tech Trends Transforming The World,PRN
10/25/19,"Alphabet, Inc.(GOOGL-US) Schedules Qt World Summit for 5-November-2019",FCSTEV
10/24/19,DJ Press Release: Google Pixel 4 and Pixel 4XL smartphones arrive on C Spire 4G LTE network today,DJGM
10/24/19,Verily Partners with Veterans Administration Palo Alto Healthcare System and Atrius Health to Deploy Solutions for Improving Population Health and the Value of Care Delivery,BW
10/22/19,"DJ Press Release: Teradata Moves the Cloud Forward with Extended Cloud Analytics Offerings and New Partner, Google Cloud",DJGM
09/26/19,"Alphabet, Inc.(GOOGL-US) Schedules Q3 2019 Earnings Call for 28-October-2019 5:00 PM ET",FCSTEV
09/26/19,"Alphabet, Inc.(GOOGL-US) Schedules Q3 2019 Earnings Release for 28-October-2019 After Market Hours ET",FCSTEV
09/13/19,"Alphabet, Inc.(GOOGL-US) Schedules AI Hardware Summit for 17-September-2019",FCSTEV
09/12/19,Mayo Clinic at the Heart of Healthcare With Rising Number of Innovative Collaborations,PRN
07/02/19,BetterInvesting Magazine Releases September Stock To Study And Undervalued Stock Choices For Investors' Informational And Educational Use,PRN
06/24/19,"Alphabet, Inc.(GOOGL-US) Schedules Q2 2019 Earnings Release for 25-July-2019 After Market Hours ET",FCSTEV
06/24/19,"Alphabet, Inc.(GOOGL-US) Schedules Q2 2019 Earnings Call for 25-July-2019 4:30 PM ET",FCSTEV
05/21/19,"Verily Forms Strategic Alliances with Novartis, Otsuka, Pfizer and Sanofi to Transform Clinical Research",BW
05/16/19,Verily Launches Baseline Health System Consortium With Vanguard Health Systems,BW
05/06/19,Welltower Expands Leadership Team in Investments,PRN
05/01/19,"Alphabet, Inc.(GOOGL-US) Schedules Annual General Meeting for 19-June-2019 12:00 PM ET",FCSTEV
04/10/19,"Accenture and Google Cloud Expand Strategic Collaboration, Announce New Enterprise Solutions in Customer Experience Transformation",BW
04/05/19,"Alphabet, Inc.(GOOGL-US) Schedules NAB Show for 6-April-2019",FCSTEV
03/19/19,"Alphabet, Inc.(GOOGL-US) Schedules Q1 2019 Earnings Release for 29-April-2019 After Market Hours ET",FCSTEV
03/19/19,"Alphabet, Inc.(GOOGL-US) Schedules Q1 2019 Earnings Call for 29-April-2019 4:30 PM ET",FCSTEV
03/12/19,"Alphabet, Inc.(GOOGL-US) Schedules Enterprise Connect Conference for 18-March-2019",FCSTEV
02/28/19,"Alphabet, Inc.(GOOGL-US) Schedules Optical Networking and Communication Conference - Panel for 4-March-2019 4:20 PM ET",FCSTEV
02/28/19,"Consolidated Research: 2019 Summary Expectations for Alphabet, Aflac, Natus Medical, SPS Commerce, Semtech, and Brunswick - Fundamental Analysis, Key Performance Indications",PMZ
02/25/19,"Alphabet, Inc.(GOOGL-US) Schedules Morgan Stanley Technology Media & Telecom Conference for 25-February-2019 6:00 PM ET",FCSTEV
02/11/19,"Alphabet, Inc.(GOOGL-US) Schedules LiveRamp RampUp Conference for 25-February-2019",FCSTEV
01/24/19,"Alphabet, Inc.(GOOGL-US) Schedules Money20/20 Asia Conference for 19-March-2019",FCSTEV
01/23/19,"Alphabet, Inc.(GOOGL-US) Schedules Goldman Sachs Technology & Internet Conference for 12-February-2019 11:15 AM ET",FCSTEV
01/17/19,"Alphabet, Inc.(GOOGL-US) Schedules eGain Customer Contact Week Conference for 24-June-2019",FCSTEV
01/10/19,Cohen Milstein Files Lawsuit on Behalf of Alphabet Shareholders against Company Board,BW
01/07/19,"Alphabet, Inc.(GOOGL-US) Schedules Q4 2018 Earnings Release for 4-February-2019 After Market Hours ET",FCSTEV
01/07/19,"Alphabet, Inc.(GOOGL-US) Schedules Q4 2018 Earnings Call for 4-February-2019 4:30 PM ET",FCSTEV
01/03/19,"Alphabet, Inc.(GOOGL-US) Schedules Data Science Leaders Summit for 23-May-2019",FCSTEV
12/10/18,SHAREHOLDER ALERT: TRVN GOOG GOOGL CWH HON FIT SYF RYAAY TSRO MGI: The Law Offices of Vincent Wong Reminds Investors of Important Class Action Deadlines,PMZ
12/10/18,"FINAL DEADLINE ALERT -- Bronstein, Gewirtz & Grossman, LLC Reminds Investors With Losses Exceeding $1M of Class Action Against Alphabet Inc. (GOOG, GOOGL)Ê& Lead Plaintiff Deadline -- December 10, 2018",PMZ
12/09/18,"ALPHABET 24 HOUR DEADLINE ALERT: Approximately 24 Hours Remain; ClaimsFiler Reminds Investors with Losses in Excess of $100,000 of Deadline in Class Action Lawsuits against Alphabet Inc. - GOOG, GOOGL",BW
12/09/18,"CLASS ACTION UPDATE for TRVN, SFIX, GOOG and CWH: Levi & Korsinsky, LLP Reminds Investors of Class Actions on Behalf of Shareholders",PMZ
12/07/18,"ALPHABET 72 HOUR DEADLINE ALERT: Approximately 72 Hours Remain; Former Louisiana Attorney General and Kahn Swick & Foti, LLC Remind Investors with Losses in Excess of $100,000 of Deadline in Class Action Lawsuits against Alphabet Inc. - GOOG, GOOGL",BW
12/07/18,"The Klein Law Firm Reminds Investors of Class Actions on Behalf of Shareholders of APOG, TRVN, GOOG, NKTR and RYAAY",PMZ
12/07/18,"MONDAY DEADLINE: The Schall Law Firm Announces it is Investigating Claims Against Alphabet Inc. and Encourages Investors with Losses in Excess of $100,000 to Contact the Firm",BW
12/07/18,"Detailed Research: Economic Perspectives on PayPal, Alphabet, Southern, Interpace Diagnostics Group, Edwards Lifesciences, and Laboratory Corporation of America - What Drives Growth in Today's Competitive Landscape",PMZ
12/04/18,"GOOG, GOOGL LOSS DEADLINE NOTICE: Rosen Law Firm Reminds Alphabet Inc. Investors with Losses in Excess of $200K of Important December 10 Deadline in First-Filed Case",PMZ
12/03/18,SHAREHOLDER ALERT: JT TRVN GOOG CWH OZK NKTR SYF AQUA GSKY: The Law Offices of Vincent Wong Reminds Investors of Important Class Action Deadlines,PMZ
12/02/18,"CLASS ACTION UPDATE for GOOG, OZK, IGCC and NKTR: Levi & Korsinsky, LLP Reminds Investors of Class Actions on Behalf of Shareholders",PMZ
11/30/18,"ALPHABET SHAREHOLDER ALERT: CLAIMSFILER Reminds Investors with Losses in Excess of $100,000 of Lead Plaintiff Deadline in Class Action Lawsuit Against Alphabet Inc. - GOOG, GOOGL",PMZ
11/30/18,"Rosen Law Firm Reminds Alphabet Inc. Investors of Important December 10 Deadline in First-Filed Case - GOOG, GOOGL",PMZ
11/30/18,"SHAREHOLDER ALERT: Pomerantz Law Firm Reminds Shareholders with Losses on their Investment in Alphabet, Inc. of Class Action Lawsuit and Upcoming Deadline - GOOG",PMZ
11/30/18,"The Klein Law Firm Reminds Investors of Class Actions on Behalf of Shareholders of GOOG, OZK, NKTR, FIT and TSRO",PMZ
11/28/18,"Kaskela Law LLC Announces Shareholder Class Action Lawsuit Filed Against Alphabet, Inc. - GOOG GOOGL",NEWS_ACW
11/28/18,"CLASS ACTION UPDATE for SFIX, GOOG and OZK: Levi & Korsinsky, LLP Reminds Investors of Class Actions on Behalf of Shareholders",PMZ
11/26/18,SHAREHOLDER ALERT: HAS CPB ADNT SFIX GOOG CWH OZK NKTR AQUA RBBN: The Law Offices of Vincent Wong Reminds Investors of Important Class Action Deadlines,PMZ
11/26/18,"Alphabet, Inc.(GOOGL-US) Schedules (CES) Consumer Electronic Show - Panel for 8-January-2019 2:00 PM ET",FCSTEV
11/23/18,"ALPHABET SHAREHOLDER ALERT BY FORMER LOUISIANA ATTORNEY GENERAL: KAHN SWICK & FOTI, LLC REMINDS INVESTORS WITH LOSSES IN EXCESS OF $100,000 of Lead Plaintiff Deadline in Class Action Lawsuits Against Alphabet Inc. - GOOG, GOOGL",PMZ
11/23/18,"SHAREHOLDER ALERT:Ê Pomerantz Law Firm Reminds Shareholders with Losses on their Investment in Alphabet, Inc. of Class Action Lawsuit and Upcoming Deadline -ÊGOOG",PMZ
11/20/18,"CLASS ACTION UPDATE for ADNT, SFIX and GOOG: Levi & Korsinsky, LLP Reminds Investors of Class Actions on Behalf of Shareholders",PMZ
11/19/18,"The Klein Law Firm Reminds Investors of Class Actions on Behalf of Shareholders of TGTX, MGTI, HAS, CPB and GOOG",PMZ
11/18/18,"STOCKHOLDER ALERT: Kaskela Law LLC Announces Stockholder Class Action Against Alphabet, Inc. and Encourages Investors to Contact the Firm - GOOG",PMZ
11/18/18,SHAREHOLDER ALERT: TGTX ABBV MGTI HAS CPB CHGG ADNT GOOG NKTR SYF RBBN: The Law Offices of Vincent Wong Reminds Investors of Important Class Action Deadlines,PMZ
11/16/18,"ALPHABET SHAREHOLDER ALERT: ClaimsFiler Reminds Investors with Losses in Excess of $100,000 of Lead Plaintiff Deadline in Class Action Lawsuit Against Alphabet Inc. - GOOG, GOOGL",BW
11/16/18,"SHAREHOLDER ALERT:  Pomerantz Law Firm Reminds Shareholders with Losses on their Investment in Alphabet, Inc. of Class Action Lawsuit and Upcoming Deadline - GOOG",PMZ
11/15/18,"GOOG GOOGL NOTICE ALERT: Rosen Law Firm Files First Securities Class Action Lawsuit Against Alphabet Inc.; Important Deadline - GOOG, GOOGL",PMZ
11/14/18,"The Klein Law Firm Reminds Investors of Class Actions on Behalf of Shareholders of GOOG, FIT and SYF",PMZ
11/09/18,"ALPHABET SHAREHOLDER ALERT: CLAIMSFILER REMINDS INVESTORS WITH LOSSES IN EXCESS OF $100,000 of Lead Plaintiff Deadline in Class Action Lawsuit Against Alphabet Inc. - GOOG, GOOGL",PRN
11/09/18,"SHAREHOLDER ALERT:  Pomerantz Law Firm Reminds Shareholders with Losses on their Investment in Alphabet, Inc. of Class Action Lawsuit and Upcoming Deadline - GOOG",PMZ
11/08/18,"Consumer Demand for Alternative, Energy Efficient Transportation Creating Electric Vehicle Revolution",PRN
11/07/18,"SHAREHOLDER ALERT:  Pomerantz Law Firm Reminds Shareholders with Losses on their Investment in Alphabet, Inc. of Class Action Lawsuit and Upcoming Deadline - GOOG",PRN
11/06/18,"The Klein Law Firm Reminds Investors of Class Actions on Behalf of Shareholders of COCP, TGTX, HAS, ADNT and GOOG",PMZ
11/05/18,"INVESTOR ACTION ALERT: The Schall Law Firm Announces the Filing of a Class Action Lawsuit Against Alphabet, Inc. and Encourages Investors with Losses in Excess of $100,000 to Contact the Firm",PMZ
11/05/18,SHAREHOLDER ALERT: PVG USAT COCP JT GOOG OZK NKTR FIT: The Law Offices of Vincent Wong Reminds Investors of Important Class Action Deadlines,PMZ
11/02/18,"ALPHABET SHAREHOLDER ALERT by Former Louisiana Attorney General: Kahn Swick & Foti, LLC Reminds Investors with Losses in Excess of $100,000 of Lead Plaintiff Deadline in Class Action Lawsuits Against Alphabet Inc. - GOOG, GOOGL",BW
11/02/18,"SHAREHOLDER ALERT:  Pomerantz Law Firm Reminds Shareholders with Losses on their Investment in Alphabet, Inc. of Class Action Lawsuit and Upcoming Deadline - GOOG",PMZ
11/02/18,"INVESTOR ALERT: Kaskela Law LLC Announces Class Action Lawsuit Against Alphabet, Inc. and Encourages Investors to Contact the Firm - GOOG",NEWS_ACW
10/31/18,SHAREHOLDER ALERT: OPK PVG USAT ABBV CHGG ACHC JT ADNT GOOG CWH OZK DY: The Law Offices of Vincent Wong Reminds Investors of Important Class Action Deadlines,PMZ
10/30/18,SHAREHOLDER ALERT: COCP TGTX ABBV ALNY MGTI HAS CPB HTHT SFIX GOOG OZK: The Law Offices of Vincent Wong Reminds Investors of Important Class Action Deadlines,PMZ
