Date,Symbol,Headline,Source
12-Nov-20,AMZN-US,DJ Press Release: Amazon Files Lawsuit Against Counterfeiters Using Social Media to Promote Sales,DJGM
12-Nov-20,AMZN-US,"DJ Press Release: Amazon In-Garage Delivery Expands to Millions More Prime Members in Over 4,000 Cities",DJGM
12-Nov-20,AMZN-US,"DJ Press Release: Amazon Music Kicks Off the Holidays with New Amazon Original Songs from Justin Bieber, Mary J. Blige, José Feliciano, Carrie Underwood and More",DJGM
12-Nov-20,AMZN-US,"Amazon Music Kicks Off the Holidays with New Amazon Original Songs from Justin Bieber, Mary J. Blige, José Feliciano, Carrie Underwood and More",BW
12-Nov-20,AMZN-US,Amazon Files Lawsuit Against Counterfeiters Using Social Media to Promote Sales,BW
12-Nov-20,AMZN-US,"Amazon In-Garage Delivery Expands to Millions More Prime Members in Over 4,000 Cities",BW
12-Nov-20,AMZN-US,Amazon Mentorship Company Voted #1 Facebook Community for Amazon Sellers,PRN
11-Nov-20,AMZN-US,______AWS________________,PRNA
11-Nov-20,AMZN-US,Standard Chartered Selects AWS to Power Its Strategic Banking Systems and Workloads,BW
11-Nov-20,AMZN-US,AWS Announces AWS Glue DataBrew,BW
11-Nov-20,AMZN-US,DJ Press Release: AWS Announces AWS Glue DataBrew -2-,DJGM
11-Nov-20,AMZN-US,DJ Press Release: AWS Announces AWS Glue DataBrew,DJGM
11-Nov-20,AMZN-US,DJ Press Release: Verizon and AWS Expand Mobile Edge Computing Platform to Dallas and Miami,DJGM
10-Nov-20,AMZN-US,DJ Press Release: UNFI Teamsters In New York Ratify Contract With Whole Foods Distributor,DJGM
10-Nov-20,AMZN-US,DJ Press Release: Amdocs Collaborates with AWS to Accelerate Telecommunications Industry's Move to the Cloud,DJGM
10-Nov-20,AMZN-US,DJ Press Release: Ring Recalls Video Doorbells (2nd Generation) Due to Fire Hazard,DJGM
9-Nov-20,AMZN-US,DJ Press Release: Rackspace Technology Announces Cloud and Innovation Thought Leadership Strategy Series Virtual Roundtable with AWS and International Air Transport Association,DJGM
9-Nov-20,AMZN-US,DJ Press Release: Adlumin Goes Live in Amazon Web Services (AWS) Marketplace,DJGM
5-Nov-20,AMZN-US,AWS Announces Plans to Launch a Second Region in India,BW
5-Nov-20,AMZN-US,DJ Press Release: AWS Announces Plans to Launch a -2-,DJGM
5-Nov-20,AMZN-US,DJ Press Release: AWS Announces Plans to Launch a Second Region in India,DJGM
5-Nov-20,AMZN-US,AWS____EC2_______Amazon EC2 P4d______,PRNA
5-Nov-20,AMZN-US,"DJ Press Release: Teamsters: Strike Threatens to Disrupt Whole Foods and Other Major Grocers in New York, New Jersey & Connecticut",DJGM
5-Nov-20,AMZN-US,"Amazon Announces First Fulfillment Center in Republic, Missouri",BW
5-Nov-20,AMZN-US,"DJ Press Release: Amazon Announces First Fulfillment Center in Republic, Missouri",DJGM
2-Nov-20,AMZN-US,DJ Press Release: AWS Announces General Availability -2-,DJGM
2-Nov-20,AMZN-US,DJ Press Release: AWS Announces General Availability of Amazon EC2 P4d Instances with EC2 UltraClusters Capability,DJGM
2-Nov-20,AMZN-US,AWS Announces General Availability of Amazon EC2 P4d Instances with EC2 UltraClusters Capability,BW
1-Nov-20,AMZN-US,AWS to Open Data Centers in Switzerland,BW
1-Nov-20,AMZN-US,DJ Press Release: AWS to Open Data Centers in Switzerland,DJGM
1-Nov-20,AMZN-US,DJ Press Release: AWS to Open Data Centers in -2-,DJGM
30-Oct-20,AMZN-US,Amazon Announces First Fulfillment Center in North Dakota,BW
30-Oct-20,AMZN-US,DJ Press Release: Amazon Announces First Fulfillment Center in North Dakota,DJGM
29-Oct-20,AMZN-US,DJ Press Release: Amazon.com Announces Third Quarter -8-,DJGM
29-Oct-20,AMZN-US,DJ Press Release: Amazon.com Announces Third Quarter -5-,DJGM
29-Oct-20,AMZN-US,DJ Press Release: Amazon.com Announces Third Quarter -7-,DJGM
29-Oct-20,AMZN-US,DJ Press Release: Amazon.com Announces Third Quarter -6-,DJGM
29-Oct-20,AMZN-US,DJ Press Release: Amazon.com Announces Third Quarter Results,DJGM
29-Oct-20,AMZN-US,DJ Press Release: Amazon.com Announces Third Quarter -2-,DJGM
29-Oct-20,AMZN-US,DJ Press Release: Amazon.com Announces Third Quarter -4-,DJGM
29-Oct-20,AMZN-US,DJ Press Release: Amazon.com Announces Third Quarter -3-,DJGM
29-Oct-20,AMZN-US,Amazon.com Announces Third Quarter Results,BW
29-Oct-20,AMZN-US,DJ Press Release: Millicom (TIGO) first to introduce Amazon Prime Video Mobile Edition for TIGO prepaid customers across Latin America,DJGM
29-Oct-20,AMZN-US,DJ Press Release: Amazon Studios Teams up With Homeboy Industries to Provide Meals to Los Angeles Poll Workers on Election Day,DJGM
28-Oct-20,AMZN-US,AWS Announces General Availability of Nitro Enclaves,BW
28-Oct-20,AMZN-US,DJ Press Release: AWS Announces General Availability of Nitro Enclaves,DJGM
27-Oct-20,AMZN-US,Amazon Announces First Fulfillment Center in Nebraska,BW
27-Oct-20,AMZN-US,DJ Press Release: Amazon Announces First Fulfillment Center in Nebraska,DJGM
27-Oct-20,AMZN-US,"DJ Press Release: Amazon Promotes Over 35,000 Employees Across North America Operations Network This Year, Opens 100,000 New Seasonal Jobs Heading Into the Holidays",DJGM
27-Oct-20,AMZN-US,"Amazon Promotes Over 35,000 Employees Across North America Operations Network This Year, Opens 100,000 New Seasonal Jobs Heading Into the Holidays",BW
23-Oct-20,AMZN-US,"Amazon Announces First Fulfillment Center in Waco, TX",BW
23-Oct-20,AMZN-US,"DJ Press Release: Amazon Announces First Fulfillment Center in Waco, TX",DJGM
22-Oct-20,AMZN-US,DJ Press Release: Amazon and small business J.L. Childress File Joint Lawsuit against Counterfeiters,DJGM
22-Oct-20,AMZN-US,Amazon and small business J.L. Childress File Joint Lawsuit against Counterfeiters,BW
22-Oct-20,AMZN-US,DJ Press Release: Amazon Web Services And Loop Insights Partner To Showcase Loop Venue Tracing Solution Via Joint Webcast To Global Audience,DJGM
21-Oct-20,AMZN-US,"DJ Press Release: Teva, Amazon Web Services and -3-",DJGM
21-Oct-20,AMZN-US,"DJ Press Release: Teva, Amazon Web Services and Onica Announce Collaboration to Support Teva's Digihaler(R) Portfolio",DJGM
21-Oct-20,AMZN-US,"DJ Press Release: Teva, Amazon Web Services and -2-",DJGM
21-Oct-20,AMZN-US,"DJ pressetext.de: Amazon bezahlt US-Kunden für Shopping-Daten - Applikation ""Shopping Panel"" lässt User Rechnungen von außerhalb der Plattform einreichen",DJPA
19-Oct-20,AMZN-US,"DJ Press Release: Amazon Donates to More Than One Thousand Charities Worldwide this Holiday Season, Including a $500,000 Donation to Breakfast Club of Canada with a Multi-Year Commitment to Deliver Over 155,000 Breakfasts Annually",DJGM
19-Oct-20,AMZN-US,DJ Press Release: Amazon Donates Millions of Items -2-,DJGM
19-Oct-20,AMZN-US,DJ Press Release: Amazon Donates Millions of Items to More Than One Thousand Charities Worldwide this Holiday Season,DJGM
19-Oct-20,AMZN-US,"Amazon Donates to More Than One Thousand Charities Worldwide this Holiday Season, Including a $500,000 Donation to Breakfast Club of Canada with a Multi-Year Commitment to Deliver Over 155,000 Breakfasts Annually",CNW
19-Oct-20,AMZN-US,Amazon Donates Millions of Items to More Than One Thousand Charities Worldwide this Holiday Season,BW
16-Oct-20,AMZN-US,Amazon Announces Two New Fulfillment Centers in Kansas,BW
16-Oct-20,AMZN-US,DJ Press Release: Amazon Announces Two New Fulfillment Centers in Kansas,DJGM
16-Oct-20,AMZN-US,DJ Press Release: Q India Launches on Amazon Fire TV,DJGM
16-Oct-20,AMZN-US,"DJ Press Release: Shop Now, Save Now--Amazon's Holiday Dash Event Starts Today with Black Friday Deals Dropping Daily",DJGM
16-Oct-20,AMZN-US,"Shop Now, Save Now--Amazon's Holiday Dash Event Starts Today with Black Friday Deals Dropping Daily",CNW
16-Oct-20,AMZN-US,"Shop Now, Save Now-Amazon's Holiday Dash Event Starts Today with Black Friday-Worthy Deals Dropping Daily",BW
16-Oct-20,AMZN-US,"DJ Press Release: Shop Now, Save Now--Amazon's Holiday Dash Event Starts Today with Black Friday-Worthy Deals Dropping Daily",DJGM
16-Oct-20,AMZN-US,"DJ Press Release: Shop Now, Save Now--Amazon's -3-",DJGM
16-Oct-20,AMZN-US,"DJ Press Release: Shop Now, Save Now--Amazon's -2-",DJGM
15-Oct-20,AMZN-US,"Amazon.com, Inc.(AMZN-US) Schedules Q3 2020 Earnings Release for 29-October-2020 4:01 PM ET",FCSTEV
15-Oct-20,AMZN-US,"Amazon.com, Inc.(AMZN-US) Schedules Q3 2020 Earnings Call for 29-October-2020 5:30 PM ET",FCSTEV
15-Oct-20,AMZN-US,DJ Press Release: Amazon.com to Webcast Third Quarter 2020 Financial Results Conference Call,DJGM
15-Oct-20,AMZN-US,Amazon.com to Webcast Third Quarter 2020 Financial Results Conference Call,BW
15-Oct-20,AMZN-US,DJ Press Release: Merkle Enters into Strategic Collaboration Agreement with AWS to Help Brands Deliver the Total Customer Experience,DJGM
15-Oct-20,AMZN-US,Amazon Prime Day 2020 Marked the Two Biggest Days Ever for Small & Medium Businesses in Amazon's Stores Worldwide,BW
15-Oct-20,AMZN-US,DJ Press Release: Amazon Prime Day 2020 Marked the -2-,DJGM
15-Oct-20,AMZN-US,DJ Press Release: Amazon Prime Day 2020 Marked the Two Biggest Days Ever for Small & Medium Businesses in Amazon's Stores Worldwide,DJGM
15-Oct-20,AMZN-US,"DJ Press Release: Amazon Music Releases ""The First One"" Podcast with DJ Khaled",DJGM
15-Oct-20,AMZN-US,"Amazon Music Releases ""The First One"" Podcast with DJ Khaled ",BW
14-Oct-20,AMZN-US,The Best Prime Day Speaker Deals (2020) Identified by Save Bubble,BW
13-Oct-20,AMZN-US,DJ Press Release: Medigus: Smart Repair Pro gains Amazon's approval for launch in the UK and 4 top EU countries,DJGM
13-Oct-20,AMZN-US,DJ Press Release: Takeda Accelerates Digital Transformation with Accenture and AWS,DJGM
12-Oct-20,AMZN-US,"Prime Day Apple Watch 6, iPad Pro, iPhone 11 & MacBook Pro Deals 2020: Early Apple Electronics Sales Compared by Save Bubble",BW
12-Oct-20,AMZN-US,"Amazon Prime Day Pet & Dog Deals (2020): Early Dog DNA Test, Cat Tree, & Pet & Dog Bed Sales Published by Spending Lab",BW
12-Oct-20,AMZN-US,"Amazon Prime Day Small Kitchen Appliance & Refrigerator Deals 2020: Best Early Air Fryer, Oven, Grill, Blender & Coffee Maker Sales Identified by Retail Egg",BW
11-Oct-20,AMZN-US,_______AWS___Amazon Timestream_________,PRNA
11-Oct-20,AMZN-US,"13 Best Prime Day Laptop Deals (2020): Top Early ASUS, Lenovo, Dell & HP Chromebook & Notebook, Microsoft Surface & Apple MacBook Savings Presented by Consumer Articles",BW
11-Oct-20,AMZN-US,"Best Amazon Prime Day Webcam, Security Camera, & DSLR Deals (2020): Top Early Camera Sales Monitored by Save Bubble",BW
8-Oct-20,AMZN-US,Prime Day Deals Revealed! Jump-start Your Holiday Shopping on October 13 & 14,CNW
8-Oct-20,AMZN-US,Prime Day Deals Revealed! Jumpstart Your Holiday Shopping on October 13 & 14 ,BW
8-Oct-20,AMZN-US,DJ Press Release: Prime Day Deals Revealed! Jumpstart Your Holiday Shopping on October 13 & 14,DJGM
8-Oct-20,AMZN-US,DJ Press Release: Prime Day Deals Revealed! -3-,DJGM
8-Oct-20,AMZN-US,DJ Press Release: Prime Day Deals Revealed! -2-,DJGM
8-Oct-20,AMZN-US,Amazon PPC Software Lets Amazon FBA Sellers Optimize their PPC Campaigns with Ease,PRN
8-Oct-20,AMZN-US,"DJ Press Release: Carrier and AWS Collaborate to Transform How Food, Medicine, Vaccines, and Other Perishable Goods Are Moved and Monitored Globally",DJGM
8-Oct-20,AMZN-US,"Carrier and AWS Collaborate to Transform How Food, Medicine, Vaccines, and Other Perishable Goods Are Moved and Monitored Globally",BW
7-Oct-20,AMZN-US,DJ Press Release: SodaStream Announces Amazon Prime Day Deals -- Offering Up to 43% Off Its Popular Sparkling Water Makers,DJGM
7-Oct-20,AMZN-US,DJ Press Release: Carpool Karaoke Microphone to be Featured on Amazon's Prime Day,DJGM
7-Oct-20,AMZN-US,"DJ Press Release: Amazon Launches Innovative ""Right Now Needs Fund"" to Help Remove Barriers to Learning for Thousands of Students In Need Across 59 Northern Virginia Schools Amid COVID-19",DJGM
7-Oct-20,AMZN-US,"Amazon Launches Innovative ""Right Now Needs Fund"" to Help Remove Barriers to Learning for Thousands of Students In Need Across 59 Northern Virginia Schools Amid COVID-19",BW
6-Oct-20,AMZN-US,DJ Press Release: Rackspace Technology Accelerates Momentum with Customer Transformations on AWS,DJGM
6-Oct-20,AMZN-US,DJ Press Release: Introducing eero for Service Providers,DJGM
6-Oct-20,AMZN-US,Introducing eero for Service Providers ,BW
6-Oct-20,AMZN-US,DJ Press Release: Ribbon Introduces Pay-As-You-Go Licensing Model for its Market-leading Session Border Controller in AWS Marketplace,DJGM
5-Oct-20,AMZN-US,Fired Amazon Employee Arrested After Amazon Reported Him to Federal Bureau of Investigation,BW
5-Oct-20,AMZN-US,DJ Press Release: Fired Amazon Employee Arrested After Amazon Reported Him to Federal Bureau of Investigation,DJGM
5-Oct-20,AMZN-US,"DJ Press Release: More Games, More Talent, and More -2-",DJGM
5-Oct-20,AMZN-US,"DJ Press Release: More Games, More Talent, and More Control for Fans--Amazon Delivers the Future of Football with TNF on Prime Video",DJGM
5-Oct-20,AMZN-US,"More Games, More Talent, and More Control for Fans-Amazon Delivers the Future of Football with TNF on Prime Video",BW
2-Oct-20,AMZN-US,DJ Press Release: Amazon Music Partners with Universal Music Group and Warner Music Group to Exclusively Remaster and Deliver Thousands of Songs and Albums at the Highest Quality Streaming Audio Available,DJGM
2-Oct-20,AMZN-US,Amazon Music Partners with Universal Music Group and Warner Music Group to Exclusively Remaster and Deliver Thousands of Songs and Albums at the Highest Quality Streaming Audio Available,BW
1-Oct-20,AMZN-US,"DJ Press Release: Amazon Expands Support to Address Immediate Needs -- Including Shelter, Food and Basic Necessities -- for Students In Need Across 133 Schools in Puget Sound Region Amid COVID-19",DJGM
1-Oct-20,AMZN-US,"Amazon Expands Support to Address Immediate Needs - Including Shelter, Food and Basic Necessities - for Students In Need Across 133 Schools in Puget Sound Region Amid COVID-19 ",BW
1-Oct-20,AMZN-US,DJ Press Release: CyberArk Achieves AWS Digital Workplace Competency Status,DJGM
1-Oct-20,AMZN-US,DJ Press Release: Citrix Recognized by AWS for Digital Workplace Expertise,DJGM
30-Sep-20,AMZN-US,"DJ Press Release: Amazon Transparency Launches in Japan, Australia",DJGM
30-Sep-20,AMZN-US,AWS Announces General Availability of Amazon Timestream,BW
30-Sep-20,AMZN-US,DJ Press Release: AWS Announces General Availability -2-,DJGM
30-Sep-20,AMZN-US,DJ Press Release: AWS Announces General Availability of Amazon Timestream,DJGM
30-Sep-20,AMZN-US,"Amazon Transparency Launches in Japan, Australia",BW
30-Sep-20,AMZN-US,DJ Press Release: Amazon Surpasses $215 Million in Donations to Charities Through AmazonSmile,DJGM
30-Sep-20,AMZN-US,Amazon Surpasses $215 Million in Donations to Charities Through AmazonSmile ,BW
29-Sep-20,AMZN-US,"DJ pressetext.de: Amazon bringt Bezahlen per Handfläche - ""Amazon One"" startet als Zugangskontrolle testweise vorläufig in Geschäften in Seattle",DJPA
28-Sep-20,AMZN-US,"DJ Press Release: Ambow Education Expands Strategic Partnership with Amazon in Digital Professional Education, Training and Certification",DJGM
28-Sep-20,AMZN-US,DJ Press Release: QuickBooks Announces Integration with Amazon Business to Help Small Businesses Seamlessly Track Purchases,DJGM
28-Sep-20,AMZN-US,DJ Press Release: Mark Your Calendars! Prime Day Is -2-,DJGM
28-Sep-20,AMZN-US,DJ Press Release: Mark Your Calendars! Prime Day Is Here in Time for the Holidays on October 13 & 14,DJGM
28-Sep-20,AMZN-US,"DJ Press Release: Amazon Announces Plans to Create 3,500 Jobs at Vancouver and Toronto Tech Hubs",DJGM
28-Sep-20,AMZN-US,"Amazon Announces Plans to Create 3,500 Jobs at Vancouver and Toronto Tech Hubs",CNW
27-Sep-20,AMZN-US,2020____Prime___10_13-14_______ __________ ____,PRNA
27-Sep-20,AMZN-US,DJ Press Release: Mark Your Calendars! Prime Day is on October 13 & 14 to Start a Season of Savings,DJGM
27-Sep-20,AMZN-US,Mark Your Calendars! Prime Day is on October 13 & 14 to Start a Season of Savings,CNW
27-Sep-20,AMZN-US,Mark Your Calendars! Prime Day Is Here in Time for the Holidays on October 13 & 14,BW
25-Sep-20,AMZN-US,"Best Buy, McKinstry, Real Betis, Schneider Electric und Siemens unterzeichnen das Klimaversprechen",BW
25-Sep-20,AMZN-US,"Best Buy, McKinstry, Real Betis, Schneider Electric, y Siemens Firman The Climate Pledge",BW
25-Sep-20,AMZN-US,"Best Buy, McKinstry, Real Betis, Schneider Electric et Siemens signent l'Engagement climat",BW
24-Sep-20,AMZN-US,Ring Delivers the Future of Whole-Home Security with Innovative Home and Auto Devices and Enhanced Privacy & Security Features such as End-to-End Encryption,BW
24-Sep-20,AMZN-US,Wi-Fi 6 Is Here-Amazon Introduces All-New eero 6 Series Mesh Wifi Systems Starting at $129,BW
24-Sep-20,AMZN-US,"Amazon Announces Next-Generation Fire TV Stick, Fire TV Stick Lite, and Redesigned User Experience",BW
24-Sep-20,AMZN-US,"DJ Press Release: Amazon Announces Next-Generation Fire TV Stick, Fire TV Stick Lite, and Redesigned User Experience",DJGM
24-Sep-20,AMZN-US,DJ Press Release: Wi-Fi 6 Is Here--Amazon Introduces All-New eero 6 Series Mesh Wifi Systems Starting at $129,DJGM
24-Sep-20,AMZN-US,Introducing Luna-Amazon's New Cloud Gaming Service Where it's Easy to Play on the Devices You Already Own ,BW
24-Sep-20,AMZN-US," Introducing the All-New Echo Family-Reimagined, Inside and Out",BW
24-Sep-20,AMZN-US,DJ Press Release: Introducing Luna--Amazon's New Cloud Gaming Service Where it's Easy to Play on the Devices You Already Own,DJGM
24-Sep-20,AMZN-US,DJ Press Release: Introducing the All-New Echo -2-,DJGM
24-Sep-20,AMZN-US,"DJ Press Release: Introducing the All-New Echo Family--Reimagined, Inside and Out",DJGM
24-Sep-20,AMZN-US,DJ Press Release: Howard University and Amazon Studios Announce Continuation of Howard Entertainment Program,DJGM
24-Sep-20,AMZN-US,"Best Buy, McKinstry, Real Betis, Schneider Electric e Siemens assinam The Climate Pledge",BW
24-Sep-20,AMZN-US,1000 Dumbest Things Donald Trump Has Said And Done Now Available On Amazon.com,PRN
24-Sep-20,AMZN-US,DJ Press Release: CyberArk Achieves AWS Outposts Ready Designation,DJGM
24-Sep-20,AMZN-US,DJ Press Release: B2Digital to Expedite Launch of B2 Fighting Series Live MMA on Amazon Fire TV,DJGM
24-Sep-20,AMZN-US,"Best Buy, McKinstry, Real Betis, Schneider Electric, and Siemens Sign The Climate Pledge",BW
23-Sep-20,AMZN-US,DJ Press Release: Amazon Launches 'Climate Pledge Friendly' to Make It Easier for Customers to Discover and Shop for Sustainable Products,DJGM
23-Sep-20,AMZN-US,Shopbop and East Dane Announce Exclusive Partnership with JOOR to Digitally Transform Wholesale Buying Process,PMZ
23-Sep-20,AMZN-US,Amazon Launches 'Climate Pledge Friendly' to Make It Easier for Customers to Discover and Shop for Sustainable Products,BW
23-Sep-20,AMZN-US,DJ Press Release: Lion Electric to Deliver 10 All-Electric Trucks to Amazon,DJGM
22-Sep-20,AMZN-US,DJ Press Release: Ribbon SBC SWe Lite on AWS Helps Accelerate Organizations' Move to Cloud Communications,DJGM
21-Sep-20,AMZN-US,DJ Press Release: Aemetis Starts Production of Branded High-Grade Alcohol Sanitizer Products,DJGM
21-Sep-20,AMZN-US,DJ Press Release: Semtech and Amazon Collaborate to Provide Low Power Connectivity for Consumer Applications on Amazon Sidewalk,DJGM
21-Sep-20,AMZN-US,"DJ Press Release: Silicon Labs and Amazon Collaborate on Sidewalk, a New Shared Network for IoT Consumer Devices",DJGM
18-Sep-20,AMZN-US,DJ Press Release: SOUTHWORKS Achieves Select Consulting Partner Status in AWS Partner & Public Sector Networks,DJGM
18-Sep-20,AMZN-US,"DJ Press Release: Amazon Supports Department of Justice's Prosecution of Six Defendants Charged with Fraud, Among Others",DJGM
18-Sep-20,AMZN-US,"Amazon Supports Department of Justice's Prosecution of Six Defendants Charged with Fraud, Among Others",BW
18-Sep-20,AMZN-US,DJ Press Release: Verizon expands relationship with Amazon,DJGM
18-Sep-20,AMZN-US,Verizon expands relationship with Amazon,PMZ
18-Sep-20,AMZN-US,DJ Press Release: Mphasis is a leading Machine Learning (ML) solutions partner in AWS Marketplace,DJGM
17-Sep-20,AMZN-US,"DJ Press Release: IBM, Amazon, Deloitte, DXC, and Accenture Partnering with UneeQ to Drive the Future of Conversational AI Adoption",DJGM
17-Sep-20,AMZN-US,Amazon Announces First Recipients of Investments from $2 Billion Climate Pledge Fund ,BW
17-Sep-20,AMZN-US,DJ Press Release: Amazon Announces First Recipients of Investments from $2 Billion Climate Pledge Fund,DJGM
17-Sep-20,AMZN-US,"DJ Press Release: Amazon Career Day 2020 -- More Than 300,000 People Attended the Event and Over 380,000 Applied for a Job at Amazon",DJGM
17-Sep-20,AMZN-US,"Amazon Career Day 2020 - More Than 300,000 People Attended the Event and Over 380,000 Applied for a Job at Amazon",BW
16-Sep-20,AMZN-US,"IMDb Announces That Scene With Dan Patrick - New Weekly Podcast Features Celebrities Breaking Down Their Most Iconic Scenes, Exclusively on Amazon Music",BW
16-Sep-20,AMZN-US,"DJ Press Release: Amazon Music Launches Podcasts for Customers Across the U.S., U.K., Germany and Japan",DJGM
16-Sep-20,AMZN-US,"Amazon Music Launches Podcasts for Customers Across the U.S., U.K., Germany and Japan",BW
16-Sep-20,AMZN-US,DJ Press Release: Fluent Announces Launch of Enhanced Performance Marketing Platform Powered by AWS,DJGM
16-Sep-20,AMZN-US,DJ Press Release: Arçelik Chooses AWS to Transform its Appliance Manufacturing Business into a Data-Driven Organization,DJGM
16-Sep-20,AMZN-US,Arçelik Chooses AWS to Transform its Appliance Manufacturing Business into a Data-Driven Organization ,BW
15-Sep-20,AMZN-US,DJ Press Release: Commvault Achieves AWS Outposts Ready designation,DJGM
15-Sep-20,AMZN-US,DJ Press Release: Trend Micro Achieves AWS Outposts Ready Designation to Deliver Seamless Hybrid Cloud Security,DJGM
15-Sep-20,AMZN-US,"DJ Press Release: Pure Storage Brings FlashBlade to AWS Outposts, Delivering a Hybrid Cloud Infrastructure Solution for Modern Data",DJGM
15-Sep-20,AMZN-US,DJ Press Release: Datadog Achieves AWS Outposts Ready Designation,DJGM
15-Sep-20,AMZN-US,ReFrame TV Stamp Awardees Up by 57% From the 2018-19 Season,BW
15-Sep-20,AMZN-US,"DJ Press Release: Amazon Announces New Shopping Experience, ""Luxury Stores""",DJGM
15-Sep-20,AMZN-US,"Amazon Announces New Shopping Experience, ""Luxury Stores""",BW
15-Sep-20,AMZN-US,"DJ Press Release: Amazon to Provide Computer Science Education for More Than 550,000 K-12 Students Annually Across More Than 5,000 Schools Nationwide Amid COVID-19 Pandemic",DJGM
15-Sep-20,AMZN-US,"Amazon to Provide Computer Science Education for More Than 550,000 K-12 Students Annually Across More Than 5,000 Schools Nationwide Amid COVID-19 Pandemic",BW
14-Sep-20,AMZN-US,DJ Press Release: Audible Launches Global Center for Urban Development,DJGM
14-Sep-20,AMZN-US,Audible Launches Global Center for Urban Development,BW
14-Sep-20,AMZN-US,DJ Press Release: Box Office Mojo by IMDbPro Delivers Data for CNN Business's COVID-19 Economic Recovery Dashboard,DJGM
14-Sep-20,AMZN-US,Box Office Mojo by IMDbPro Delivers Data for CNN Business's COVID-19 Economic Recovery Dashboard,BW
14-Sep-20,AMZN-US,DJ Press Release: TIDI Products Announces Partnership with Amazon Amid COVID-19 Pandemic,DJGM
14-Sep-20,AMZN-US,Report: U.S. Imports Trending Down 5% but China Recovers and Vietnam Climbs,PRN
14-Sep-20,AMZN-US,"Creating More Job Opportunities: Amazon Hiring 100,000 New Full- and Part-Time Employees Across the U.S. and Canada ",BW
14-Sep-20,AMZN-US,"DJ Press Release: Creating More Job Opportunities: Amazon Hiring 100,000 New Full- and Part-Time Employees Across the U.S. and Canada",DJGM
10-Sep-20,AMZN-US,DJ Press Release: Edison Nation Launches Direct to Consumer PPE Initiative; Amazon Update,DJGM
9-Sep-20,AMZN-US,DJ Press Release: Amazon's Beaumont fulfillment center is now open for business,DJGM
9-Sep-20,AMZN-US,Amazon's Beaumont fulfillment center is now open for business,BW
9-Sep-20,AMZN-US,DJ Press Release: AWS and the National Football League Announce New Next Gen Stats Powered by AWS for the 2020 Season,DJGM
9-Sep-20,AMZN-US,AWS and the National Football League Announce New Next Gen Stats Powered by AWS for the 2020 Season,BW
