TSLAdate,TSLAnews,TSLAsource
01/17/20,Tesla Announces Date for Fourth Quarter and Full Year 2019 Financial Results and Webcast,PMZ
01/03/20,"Tesla, Inc.(TSLA-US) Schedules Q4 2019 Sales and Revenue Release - Production Results for 3-January-2020 8:16 AM ET",FCSTEV
01/03/20,Tesla Q4 2019 Vehicle Production & Deliveries,PMZ
10/23/19,Tesla Motors Reports Third Quarter 2019 Financial Results,NEWS_CR
10/23/19,Tesla Releases Third Quarter 2019 Financial Results,PMZ
10/09/19,"Tesla, Inc.(TSLA-US) Schedules Q3 2019 Earnings Release for 23-October-2019 After Market Hours ET",FCSTEV
10/09/19,"Tesla, Inc.(TSLA-US) Schedules Q3 2019 Earnings Call for 23-October-2019 6:30 PM ET",FCSTEV
10/09/19,Tesla Announces Date for Third Quarter 2019 Financial Results and Webcast,PMZ
10/02/19,Tesla Q3 2019 Vehicle Production & Deliveries,PMZ
10/01/19,"Tesla, Inc.(TSLA-US) Schedules Q3 2019 Sales and Revenue Release for 2-October-2019",FCSTEV
08/30/19,DJ pressetext.de: Neue Tesla-Versicherung sorgt fŸr Verwirrung - Eigenes Angebot als _u§erst billig beworben - Erste Kunden zeigen sich aber entt_uscht,DJPA
08/06/19,"Tesla, Inc.(TSLA-US) Schedules Canaccord Genuity Future of Transport Conference for 6-August-2019 1:30 PM ET",FCSTEV
07/24/19,Tesla Motors Reports Second Quarter 2019 Financial Results,NEWS_CR
07/24/19,Tesla Releases Second Quarter 2019 Financial Results,PMZ
07/17/19,UPDATE: Tesla Announces Date for Second Quarter 2019 Financial Results and Webcast,PMZ
07/11/19,"Tesla, Inc.(TSLA-US) Schedules Q2 2019 Earnings Release for 24-July-2019 4:48 PM ET",FCSTEV
07/11/19,"Tesla, Inc.(TSLA-US) Schedules Q2 2019 Earnings Call for 24-July-2019 6:30 PM ET",FCSTEV
07/11/19,Tesla Announces Date for Second Quarter 2019 Financial Results and Webcast,PMZ
07/10/19,Is Tesla's Warning of a Battery Minerals Shortage Nearing Valid or Not,PRN
07/02/19,Tesla Q2 2019 Vehicle Production & Deliveries,PMZ
07/01/19,"Tesla, Inc.(TSLA-US)SchedulesQ22019SalesandRevenueReleasefor43648",FCSTEV
05/16/19,Tesla Completes Acquisition of Maxwell Technologies,PMZ
05/13/19,Tesla Announces Offer Consideration for Previously Announced Offer to Exchange  Maxwell Technologies Common Stock for Tesla Common Stock,PMZ
05/12/19,"Tesla, Inc.(TSLA-US) Schedules Smart Cities New York Conference for 13-May-2019",FCSTEV
05/02/19,Tesla Announces Offerings of Common Stock and Convertible Senior Notes,PMZ
05/02/19,"Tesla, Inc.(TSLA-US) Schedules Annual General Meeting for 11-June-2019 5:30 PM ET",FCSTEV
04/24/19,Tesla Releases First Quarter 2019 Financial Results,PMZ
04/24/19,Tesla Motors Reports First Quarter 2019 Financial Results,NEWS_CR
04/11/19,"Tesla, Inc.(TSLA-US) Schedules Q1 2019 Earnings Call for 24-April-2019 5:30 PM ET",FCSTEV
04/10/19,"Tesla, Inc.(TSLA-US) Schedules Q1 2019 Earnings Release for 24-April-2019 5:13 PM ET",FCSTEV
04/10/19,Tesla Announces Date for First Quarter 2019 Financial Results and Webcast,PMZ
04/08/19,"Tender Offer Extension for Acquisition of Maxwell Technologies, Inc.",PMZ
04/04/19,UPDATE - Tesla To Host Autonomy Investor Day,PMZ
04/03/19,Tesla Q1 2019 Vehicle Production & Deliveries,PMZ
04/03/19,"Tesla, Inc.(TSLA-US) Schedules Investor Day for 22-April-2019 2:00 PM ET",FCSTEV
04/03/19,Tesla To Host Autonomy Investor Day,PMZ
04/02/19,"Tesla, Inc.(TSLA-US) Schedules Q1 2019 Sales and Revenue Release for 3-April-2019",FCSTEV
03/15/19,"Tender Offer Extension for Acquisition of Maxwell Technologies, Inc.",PMZ
02/28/19,"Tesla, Inc.(TSLA-US) Schedules Business Update Call for 28-February-2019 5:00 PM ET",FCSTEV
01/30/19,Tesla Releases Fourth Quarter and Full Year 2018 Financial Results,PMZ
01/30/19,Tesla Motors Reports Fourth Quarter 2018 Financial Results,NEWS_CR
01/18/19,"Tesla, Inc.(TSLA-US) Schedules Q4 2018 Earnings Call for 30-January-2019 5:30 PM ET",FCSTEV
01/18/19,"Tesla, Inc.(TSLA-US) Schedules Q4 2018 Earnings Release for 30-January-2019 4:14 PM ET",FCSTEV
01/18/19,Tesla Announces Date for Fourth Quarter and Full Year 2018 Financial Results and Webcast,PMZ
01/02/19,"Tesla Q4 2018 Vehicle Production & Deliveries, Also Announcing $2,000 Price Reduction in US",PMZ
01/01/19,"Tesla, Inc.(TSLA-US) Schedules Q4 2018 Sales and Revenue Release for 2-January-2019",FCSTEV
12/05/18,Shegerian & Associates: Four Discrimination Lawsuits Filed Against Tesla in Recent Months,PRN
10/24/18,Tesla Releases Third Quarter 2018 Financial Results,PMZ
10/24/18,Tesla Motors Reports Third Quarter 2018 Financial Results,NEWS_CR
10/22/18,UPDATE - Tesla Announces Date for Third Quarter 2018 Financial Results and Webcast,PMZ
10/22/18,"Tesla, Inc.(TSLA-US) Schedules Q3 2018 Earnings Release for 24-October-2018 After Market Hours ET",FCSTEV
10/22/18,"Tesla, Inc.(TSLA-US) Schedules Q3 2018 Earnings Call - Q&A for 24-October-2018 6:30 PM ET",FCSTEV
10/22/18,Tesla Announces Date for Third Quarter 2018 Financial Results and Webcast,PMZ
10/08/18,"The Law Offices of Howard G. Smith Reminds Investors of Looming Deadline in the Class Action Lawsuit Against Tesla, Inc. (TSLA)",BW
10/05/18,"SHAREHOLDER ALERT:  Pomerantz Law Firm Reminds Shareholders with Losses on their Investment in Tesla, Inc. of Class Action Lawsuit and Upcoming Deadline - TSLA",PMZ
10/05/18,"Glancy Prongay & Murray LLP Reminds Investors of the Deadline in the Class Action Lawsuit Against Tesla, Inc.",BW
10/04/18,"FINAL INVESTOR DEADLINE: Kaskela Law LLC Announces Class Action Lawsuit Filed Against Tesla, Inc. and Elon Musk and Encourages Investors with Losses in Excess of $1,000,000 to Contact the Firm - TSLA",NEWS_ACW
10/04/18,"5-Day Deadline: The Schall Law Firm Announces the Filing of a Class Action Lawsuit Against Tesla, Inc. and Encourages Investors with Losses in Excess of $100,000 to Contact the Firm",BW
10/02/18,"Law Offices of Howard G. Smith Announces the Filing of a Securities Class Action on Behalf of Tesla, Inc. Investors",BW
10/02/18,Tesla Q3 2018 Vehicle Production and Deliveries,PMZ
10/01/18,"Tesla, Inc.(TSLA-US) Schedules Q3 2018 Sales and Revenue Release - Production Results for 2-October-2018",FCSTEV
09/28/18,"Hagens Berman Updates Investors Who Covered Short Sales of Tesla, Inc. (NASDAQ: TSLA) Concerning the Firm's Securities Fraud Lawsuit and the Recently Filed SEC Complaint",PMZ
09/27/18,"SHAREHOLDER ALERT: The Schall Law Firm Announces the Filing of a Class Action Lawsuit Against Tesla, Inc. and Encourages Investors with Losses in Excess of $100,000 to Contact the Firm",BW
09/27/18,"Safirstein Metcalf LLP Announces That A Class Action Has Been Filed Against Tesla, Inc. (NASDAQ: TSLA)",PMZ
09/27/18,"SHAREHOLDER ALERT: Bronstein, Gewirtz & Grossman, LLC Announces Investigation of Tesla, Inc. (TSLA)",PRN
09/21/18,"SHAREHOLDER ALERT:  Pomerantz Law Firm Reminds Shareholders with Losses on their Investment in Tesla, Inc. of Class Action Lawsuit and Upcoming Deadline - TSLA",PMZ
09/18/18,Shareholder Update: Labaton Sucharow Files Class Action Against Tesla on Behalf of Citron's Andrew Left,BW
09/14/18,"TESLA BRANDS SHAREHOLDER ALERT: ClaimsFiler Reminds Investors with Losses in Excess of $100,000 of Lead Plaintiff Deadline in Class Action Lawsuit against Tesla, Inc. - TSLA",BW
09/14/18,"SHAREHOLDER ALERT:  Pomerantz Law Firm Reminds Shareholders with Losses on their Investment in Tesla, Inc. of Class Action Lawsuit and Upcoming Deadline - TSLA",PMZ
09/13/18,"INVESTOR ALERT: WeissLaw LLP Investigates Tesla, Inc.",PRN
09/13/18,"Scott+Scott Attorneys at Law LLP Reminds Investors of Class Action Lawsuits Against Tesla, Inc. (TSLA) - Investors With Losses Over $100,000 Encouraged to Contact the Firm",PRN
09/11/18,"INVESTOR ALERT: Brower Piven Encourages Shareholders Who Have Losses In Excess Of $100,000 From Investment In Tesla, Inc. (Nasdaq: TSLA) To Contact Brower Piven Before The Lead Plaintiff Deadline In Class Action Lawsuit",PMZ
09/07/18,"TESLA BRANDS SHAREHOLDER ALERT: CLAIMSFILER REMINDS INVESTORS WITH LOSSES IN EXCESS OF $100,000 of Lead Plaintiff Deadline in Class Action Lawsuit Against Tesla, Inc. - TSLA",PRN
09/07/18,Labaton Sucharow  Announces the Filing of a Securities Class Action Lawsuit Against  Elon Musk and Tesla,PRN
09/07/18,"Hagens Berman updates investors who covered short sales of Tesla, Inc. (NASDAQ: TSLA) concerning the October 9, 2018 lead plaintiff deadline and new investigation into the CAO's resignation",PMZ
09/06/18,"Pomerantz Law Firm Announces the Filing of a Class Action against Tesla, Inc. and Certain Officers - TSLA",PRN
09/05/18,"INVESTOR ALERT: Law Offices of Howard G. Smith Commences Investigation on Behalf of Tesla, Inc. Investors",BW
09/04/18,"TESLA SHAREHOLDER ALERT BY FORMER LOUISIANA ATTORNEY GENERAL: KAHN SWICK & FOTI, LLC REMINDS INVESTORS WITH LOSSES IN EXCESS OF $100,000 of Lead Plaintiff
Deadline in Class Action Lawsuit Against Tesla, Inc. - TSLA",PMZ
09/04/18,"Kaskela Law LLC Announces Investor Class Action Against Tesla, Inc. and Encourages Investors with Losses in Excess of $500,000 to Contact the Firm - TSLA",NEWS_ACW
08/31/18,"TESLA SHAREHOLDER ALERT by Former Louisiana Attorney General: Kahn Swick & Foti, LLC Reminds Investors with Losses in Excess of $100,000 of Lead Plaintiff Deadline in Class Action Lawsuit Against Tesla, Inc. - TSLA",BW
08/31/18,"Hagens Berman Reminds Investors Who Covered Short Sales of Tesla, Inc. (NASDAQ:TSLA) of the Firm's Securities Class Action and the October 9, 2018 Lead Plaintiff Deadline",PMZ
08/30/18,"Kaskela Law LLC Announces Expanded Class Period in Investor Class Action Lawsuits Filed Against Tesla, Inc. and Elon Musk, and Encourages Investors with Losses in Excess of $500,000 to Contact the Firm - TSLA",NEWS_ACW
08/29/18,"Hagens Berman Updates Investors in Tesla, Inc. (NASDAQ: TSLA) Concerning the Firm's Securities Class Action, Reported SEC Subpoena, Expanded Class Period, and the October 9, 2018 Lead Plaintiff Deadline",PMZ
08/28/18,"Kaskela Law LLC Announces Expanded Class Period in Investor Class Action Lawsuits Filed Against Tesla, Inc. and Elon Musk, and Encourages Investors with Losses in Excess of $500,000 to Contact the Firm - TSLA",BW
08/27/18,"Berger Montague Investigating Class Action Claims Against Tesla, Inc. and Elon Musk",PRN
08/24/18,"Statement from Independent Members of Tesla's Board of Directors (Brad Buss, Robyn Denholm, Ira Ehrenpreis, Antonio Gracias, Linda Johnson Rice, and James Murdoch):",PMZ
08/24/18,"TESLA BRANDS SHAREHOLDER ALERT: CLAIMSFILER REMINDS INVESTORS WITH LOSSES IN EXCESS OF $100,000 of Lead Plaintiff Deadline in Class Action Lawsuit Against Tesla, Inc. - TSLA",PMZ
08/23/18,"(TSLA) Alert: Johnson Fistel Reminds Tesla Investors of Class Action Lawsuit; Investors Acquiring Shares from August 7, 2018 and August 14, 2018 Encouraged to Contact Firm",PRN
08/17/18,"TESLA SHAREHOLDER ALERT BY FORMER LOUISIANA ATTORNEY GENERAL: KAHN SWICK & FOTI, LLC REMINDS INVESTORS WITH LOSSES IN EXCESS OF $100,000 of Lead Plaintiff
Deadline in Class Action Lawsuit Against Tesla, Inc. - TSLA",PRN
08/17/18,"Tesla Investigation: Bernstein Liebhard LLP Announces Investigation Of Tesla, Inc. - TSLA",PRN
08/17/18,"TSLA INVESTORS ALERT: Lieff Cabraser Announces Securities Class Action Against Tesla, Inc.",BW
08/16/18,"Milberg Tadler Phillips Grossman LLP Announces Extended Class Period in Tesla, Inc. Class Action",PRN
08/16/18,"RM LAW Announces Investigation of Tesla, Inc.",PRN
08/15/18,"Hagens Berman Sobol Shapiro LLP Announces Extended Class Period in Musk ""Tweet"" Class Action - TSLA",PMZ
08/15/18,"SHAREHOLDER ALERT: Kaskela Law LLC Announces Expanded Class Period in Investor Class Action Lawsuits Against Tesla, Inc. and Elon Musk, and Encourages Investors with Losses in Excess of $250,000 to Contact the Firm",PMZ
08/15/18,"Tesla Class Action: Bernstein Liebhard LLP Announces that a New Securities Class Action Lawsuit Expanding the Relevant Class Period has been Filed Against Tesla, Inc. - TSLA",PMZ
08/15/18,Scott+Scott Attorneys at Law LLP Files Class Action Lawsuit Against Tesla Inc. (TSLA) and Elon Musk on Behalf of Short Sellers and Put Options Investors,BW
08/15/18,"Tesla Class Action: Bernstein Liebhard LLP Announces That A New Securities Class Action Lawsuit Expanding The Relevant Class Period Has Been Filed Against Tesla, Inc. - TSLA",PRN
08/15/18,"ONGOING INVESTIGATION ALERT: The Schall Law Firm Announces it is Investigating Claims Against Tesla, Inc. and Encourages Investors with Losses in Excess of $100,000 to Contact the Firm",BW
08/15/18,"SHAREHOLDER ALERT: Bronstein, Gewirtz & Grossman, LLC Notifies Investors of Class Action Against Tesla, Inc. (TSLA) and Lead Plaintiff Deadline: October 9, 2018",PMZ
08/14/18,"TESLA SHAREHOLDER ALERT BY FORMER LOUISIANA ATTORNEY GENERAL: KAHN SWICK & FOTI, LLC REMINDS INVESTORS WITH LOSSES IN EXCESS OF $100,000 of Lead Plaintiff
Deadline in Class Action Lawsuit Against Tesla, Inc. - TSLA",PMZ
08/14/18,Tesla Announces Formation of Special Committee to Evaluate Potential Going Private Transaction,PMZ
08/13/18,TSLA INVESTOR ALERT: Hagens Berman Sobol Shapiro LLP Files Tesla Securities Tweet Class Action: Notifies Investors of October 9th Lead Plaintiff Deadline,PRN
08/13/18,"IMPORTANT INVESTOR NOTICE: The Schall Law Firm Announces the Filing of a Class Action Lawsuit Against Tesla, Inc. and Encourages Investors with Losses in Excess of $100,000 to Contact the Firm",BW
08/10/18,"SHAREHOLDER ALERT: Kaskela Law LLC Announces Shareholder Class Action Lawsuit Filed Against Tesla, Inc. and Elon Musk, and Encourages Investors to Contact the Firm",PMZ
08/10/18,"Hagens Berman Sobol Shapiro LLP Files Securities Class Action Against Tesla, Inc. (NASDAQ: TSLA) and Elon Musk For False Market Moving Tweet",PMZ
08/10/18,"Keller Lenkner LLC Files Class Action Suit Against Elon Musk and Tesla, Inc.",PRN
08/08/18,"Statement from the following members of Tesla's Board of Directors: Brad Buss, Robyn Denholm, Ira Ehrenpreis, Antonio Gracias, Linda Johnson Rice, and James Murdoch",PMZ
08/01/18,Tesla Motors Reports Second Quarter 2018 Financial Results,NEWS_CR
08/01/18,Tesla Releases Second Quarter 2018 Financial Results,PMZ
07/18/18,"Tesla, Inc.(TSLA-US) Schedules Q2 2018 Earnings Call for 1-August-2018 5:30 PM ET",FCSTEV
07/18/18,"Tesla, Inc.(TSLA-US) Schedules Q2 2018 Earnings Release for 1-August-2018 After Market Hours ET",FCSTEV
07/18/18,Tesla Announces Date for Second Quarter 2018 Financial Results and Webcast,PMZ
07/08/18,"Tesla, Inc.(TSLA-US) Schedules MUFG Tech Tour for 6-August-2018",FCSTEV
07/02/18,Tesla Q2 2018 Vehicle Production and Deliveries,PMZ
07/02/18,"Tesla, Inc.(TSLA-US) Schedules Q2 2018 Sales and Revenue Release - Production Results for 2-July-2018 9:00 AM ET",FCSTEV
06/26/18,"Tesla, Inc.(TSLA-US) Schedules Gabelli & Company Automotive Aftermarket Symposium for 29-October-2018",FCSTEV
06/08/18,Tesla Model S Car Insurance,PRN
05/20/18,"Tesla, Inc.(TSLA-US) Schedules Annual General Meeting for 5-June-2018 5:30 PM ET",FCSTEV
05/02/18,Tesla Releases First Quarter 2018 Financial Results,PMZ
05/02/18,Tesla Motors Reports First Quarter 2018 Financial Results,NEWS_CR
04/19/18,"Tesla, Inc.(TSLA-US) Schedules Q1 2018 Earnings Release for 2-May-2018 After Market Hours ET",FCSTEV
04/19/18,"Tesla, Inc.(TSLA-US) Schedules Q1 2018 Earnings Call for 2-May-2018 5:30 PM ET",FCSTEV
04/19/18,Tesla Announces Date for First Quarter 2018 Financial Results and Webcast,PMZ
04/03/18,Tesla Q1 2018 Vehicle Production and Deliveries,PMZ
04/02/18,"Tesla, Inc.(TSLA-US) Schedules Q1 2018 Sales and Revenue Release - Production Results for 3-April-2018",FCSTEV
03/20/18,"Tesla, Inc.(TSLA-US) Schedules Special Meeting of Stockholders for 21-March-2018",FCSTEV
02/26/18,"Tesla, Inc.(TSLA-US) Schedules Investor Meeting for 27-February-2018",FCSTEV
02/07/18,Tesla Releases Fourth Quarter and Full Year 2017 Financial Results,PMZ
02/07/18,Tesla Motors Reports Fourth Quarter 2017 Financial Results,NEWS_CR
01/25/18,"Tesla, Inc.(TSLA-US) Schedules Q4 2017 Earnings Call for 7-February-2018 5:30 PM ET",FCSTEV
01/25/18,"Tesla, Inc.(TSLA-US) Schedules Q4 2017 Earnings Release for 7-February-2018 After Market Hours ET",FCSTEV
01/25/18,Tesla Announces Date for Fourth Quarter and Full Year 2017 Financial Results and Webcast,PMZ
01/23/18,Tesla Announces New Long-Term Performance Award for Elon Musk,PMZ
01/03/18,Tesla Q4 2017 Vehicle Production and Deliveries,PMZ
01/02/18,"Tesla, Inc.(TSLA-US) Schedules Q4 2017 Sales and Revenue Release - Production Results for 3-January-2018",FCSTEV
12/06/17,"EQUITY ALERT: Rosen Law Firm Announces Filing of Securities Class Action Lawsuit Against Tesla, Inc. - TSLA",PRN
11/28/17,"SHAREHOLDER ALERT: Pomerantz Law Firm Reminds Shareholders with Losses on their Investment in Tesla, Inc. of Class Action Lawsuit and Upcoming Deadline - TSLA",PMZ
11/27/17,"The Klein Law Firm Reminds Investors of a Class Action Filed on Behalf of Tesla, Inc. Shareholders and a Lead Plaintiff Deadline of December 11, 2017 (TSLA)",PMZ
11/21/17,"TSLA INVESTOR ALERT: The Law Offices of Vincent Wong Reminds Investors of a Class Action Involving Tesla, Inc. and a Lead Plaintiff Deadline of December 11, 2017",PMZ
11/20/17,"RM LAW Announces Class Action Lawsuit Against Tesla, Inc.",PRN
11/17/17,"DEADLINE ALERT: Brower Piven Reminds Investors of Upcoming Deadline in Class Action Lawsuit and Encourages Shareholders Who Have Losses in Excess of $100,000 from Investment in Tesla, Inc. to Contact the Firm",BW
11/11/17,"SHAREHOLDER ALERT: Pomerantz Law Firm Reminds Shareholders with Losses on their Investment in Tesla, Inc. of Class Action Lawsuit and Upcoming Deadline - TSLA",PRN
11/08/17,"Tesla, Inc.(TSLA-US) Schedules Robert W. Baird Global Industrial Conference for 8-November-2017 3:30 PM ET",FCSTEV
11/07/17,"INVESTOR ALERT: Brower Piven Encourages Shareholders Who Have Losses In Excess Of $100,000 From Investment In Tesla, Inc. (Nasdaq: TSLA) To Contact Brower Piven Before The Lead Plaintiff Deadline In Class Action Lawsuit",PMZ
11/05/17,"The Klein Law Firm Reminds Investors of a Class Action Filed on Behalf of Tesla, Inc. Shareholders and a Lead Plaintiff Deadline of December 11, 2017",BW
11/03/17,"Tesla Investor Alert: Hagens Berman Alerts Tesla, Inc. (TSLA) Investors to the Securities Class Action and the December 11, 2017 Lead Plaintiff Deadline",PMZ
11/02/17,"TSLA INVESTOR ALERT: The Law Offices of Vincent Wong Reminds Investors of Commencement of a Class Action Involving Tesla, Inc. and a Lead Plaintiff Deadline of December 11, 2017",BW
11/01/17,"The Klein Law Firm Announces a Class Action Filed on Behalf of Tesla, Inc. Shareholders and a Lead Plaintiff Deadline of December 11, 2017",BW
11/01/17,Tesla Releases Third Quarter 2017 Financial Results,PMZ
11/01/17,Tesla Motors Reports Third Quarter 2017 Financial Results,NEWS_CR
11/01/17,"SHAREHOLDER ALERT: Brower Piven Encourages Investors Who Have Losses In Excess Of $100,000 From Investment In Tesla, Inc. To Contact Brower Piven Before The Lead Plaintiff Deadline In Class Action Lawsuit",BW
10/30/17,"The Klein Law Firm Announces a Class Action Filed on Behalf of Tesla, Inc. Shareholders and a Lead Plaintiff Deadline of December 11, 2017",PMZ
10/30/17,"TSLA SHAREHOLDER ALERT: The Law Offices of Vincent Wong Notifies Investors of Commencement of a Class Action Involving Tesla, Inc. and a Lead Plaintiff Deadline of December 11, 2017",BW
10/28/17,"SHAREHOLDER ALERT:  Pomerantz Law Firm Reminds Shareholders with  Losses on their Investment in Tesla, Inc. of  Class Action Lawsuit and Upcoming Deadline - TSLA",PMZ
10/27/17,"TSLA SHAREHOLDER ALERT: The Law Offices of Vincent Wong Notifies Investors of Commencement of a Class Action Involving Tesla, Inc. and a Lead Plaintiff Deadline of December 11, 2017",PMZ
10/27/17,"SHAREHOLDER ALERT: Bronstein, Gewirtz & Grossman, LLC Reminds Investors of Class Action Against Tesla, Inc. (TSLA) and Lead Plaintiff Deadline - December 11, 2017",PRN
10/25/17,"IMPORTANT SHAREHOLDER ALERT: Khang & Khang LLP Announces Securities Class Action Lawsuit against Tesla, Inc. and Encourages Investors with Losses Exceeding $100,000 to Contact the Firm",BW
10/24/17,"The Klein Law Firm Reminds Investors of an Investigation Concerning Possible Violations of Federal Securities Laws by Tesla, Inc.",BW
10/23/17,"IMPORTANT INVESTOR ALERT: Lundin Law PC Announces Securities Class Action Lawsuit Against Tesla, Inc. and Encourages Investors With Losses in Excess of $100,000 to Contact the Firm",BW
10/23/17,"The Klein Law Firm Notifies Investors of an Investigation Concerning Possible Violations of Federal Securities Laws by Tesla, Inc.",BW
10/23/17,"SHAREHOLDER ALERT: Goldberg Law PC Announces the Filing of a Securities Class Action Lawsuit against Tesla, Inc. and Encourages Investors with Losses Exceeding $100,000 to Contact the Firm",BW
10/23/17,"SHAREHOLDER ALERT: Brower Piven Notifies Investors of Class Action Lawsuit And Encourages Those Who Have Losses In Excess Of $100,000 From Investment In Tesla, Inc. (Nasdaq: TSLA) To Contact Brower Piven Before The Lead Plaintiff Deadline",PMZ
10/20/17,"IMPORTANT INVESTOR ALERT: Khang & Khang LLP Announces Securities Class Action Lawsuit against Tesla, Inc. and Encourages Investors with Losses Exceeding $100,000 to Contact the Firm",BW
10/20/17,"IMPORTANT SHAREHOLDER ALERT: Lundin Law PC Announces Securities Class Action Lawsuit against Tesla, Inc. and Encourages Investors with Losses In Excess of $100,000 to Contact the Firm",BW
10/20/17,"TSLA INVESTOR ALERT: The Law Offices of Vincent Wong Reminds Investors of an Investigation Involving Possible Securities Fraud Violations by the Board of Directors of Tesla, Inc.",BW
10/19/17,"INVESTOR ALERT: Goldberg Law PC Announces the Filing of a Securities Class Action Lawsuit Against Tesla, Inc. and Encourages Investors With Losses Exceeding $100,000 to Contact the Firm",BW
10/19/17,"TSLA SHAREHOLDER ALERT: The Law Offices of Vincent Wong Notifies Investors of an Investigation Involving Possible Securities Fraud Violations by the Board of Directors of Tesla, Inc.",BW
10/19/17,"Tesla, Inc.(TSLA-US) Schedules Q3 2017 Earnings Release for 1-November-2017 After Market Hours ET",FCSTEV
10/19/17,"Tesla, Inc.(TSLA-US) Schedules Q3 2017 Earnings Call for 1-November-2017 5:30 PM ET",FCSTEV
10/19/17,Tesla Announces Date for Third Quarter 2017 Financial Results and Webcast,PMZ
10/18/17,"TSLA LOSS NOTICE: Rosen Law Firm Reminds Tesla, Inc. Investors of Important Deadline in First Filed Class Action - TSLA",BW
10/11/17,"IMPORTANT INVESTOR ALERT: Khang & Khang LLP Announces an Investigation of Tesla, Inc. and Encourages Investors with Losses Over $100,000 to Contact the Firm",BW
10/11/17,"Federman & Sherwood Announces Filing of Securities Class Action Lawsuit Against Tesla, Inc.",PMZ
10/11/17,"INVESTOR ALERT: Goldberg Law PC Announces an Investigation of Tesla, Inc. and Encourages Investors with Losses Exceeding $100,000 to Contact the Firm",BW
10/10/17,"EQUITY ALERT: Rosen Law Firm Files Securities Class Action Lawsuit Against Tesla, Inc. - TSLA",BW
10/10/17,"IMPORTANT SHAREHOLDER ALERT: Khang & Khang LLP Announces an Investigation of Tesla, Inc. and Encourages Investors with Losses Over $100,000 to Contact the Firm",BW
10/10/17,"(TSLA) Alert:  Johnson Fistel Investigates Tesla, Inc. Following Report of Vehicle Deliveries and Production; Encourages Investors to Contact the Firm",PRN
