HZNPdate,HZNPnews,HZNPsource
10/26/20,DJ Press Release: Horizon Therapeutics plc Named One of the Most Innovative Companies by Crain's Chicago Business,DJGM
10/26/20,Horizon Therapeutics plc Named One of the Most Innovative Companies by Crain's Chicago Business,BW
10/23/20,DJ Press Release: Horizon Therapeutics plc Named One of the Best Adoption-Friendly Workplaces by the Dave Thomas Foundation for Adoption,DJGM
10/23/20,Horizon Therapeutics plc Named One of the Best Adoption-Friendly Workplaces by the Dave Thomas Foundation for Adoption ,BW
10/22/20,Horizon Therapeutics Plc(HZNP-US) Schedules Investor Meeting - KRYSTEXXA for 27-October-2020 7:00 PM ET,FCSTEV
10/22/20,DJ Press Release: New Data Offers Insights on -2-,DJGM
10/22/20,DJ Press Release: New Data Offers Insights on Treatment with KRYSTEXXA(R) (pegloticase injection) Among Kidney Transplant Patients for the Management of Uncontrolled Gout,DJGM
10/22/20,New Data Offers Insights on Treatment with KRYSTEXXA¬ (pegloticase injection) Among Kidney Transplant Patients for the Management of Uncontrolled Gout,BW
10/20/20,DJ Press Release: Horizon Therapeutics plc Announces TEPEZZA(R) (teprotumumab-trbw) Selected as a Winner of the Chicago Innovation Award,DJGM
10/20/20,Horizon Therapeutics plc Announces TEPEZZA¬ (teprotumumab-trbw) Selected as a Winner of the Chicago Innovation Award ,BW
10/16/20,DJ Press Release: FORTUNE and Great Place to Work(R) Name Horizon Therapeutics plc to Best Medium Workplaces List for Fifth Consecutive Year,DJGM
10/16/20,FORTUNE and Great Place to Work¬ Name Horizon Therapeutics plc to Best Medium Workplaces List for Fifth Consecutive Year,BW
10/14/20,Horizon Therapeutics Plc(HZNP-US) Schedules Academy of Managed Care Pharmacy Nexus Virtual Meeting for 19-October-2020,FCSTEV
10/14/20,DJ Press Release: TEPEZZA(R) (teprotumumab-trbw) -2-,DJGM
10/14/20,DJ Press Release: TEPEZZA(R) (teprotumumab-trbw) Data from the Phase 2 Clinical Trial Evaluate Longer-Term Responses in People Living with Thyroid Eye Disease (TED),DJGM
10/14/20,TEPEZZA¬ (teprotumumab-trbw) Data from the Phase 2 Clinical Trial Evaluate Longer-Term Responses in People Living with Thyroid Eye Disease (TED) ,BW
10/08/20,Horizon Therapeutics Plc(HZNP-US) Schedules American College of Rheumatology Convergence - Abstract No - 0648 for 7-November-2020 9:00 AM ET,FCSTEV
10/08/20,Horizon Therapeutics Plc(HZNP-US) Schedules American College of Rheumatology Convergence - Abstract No - 0952 for 7-November-2020 5:20 PM ET,FCSTEV
10/08/20,Horizon Therapeutics Plc(HZNP-US) Schedules American College of Rheumatology Convergence - Abstract No - 0685 for 7-November-2020 9:00 AM ET,FCSTEV
10/08/20,Horizon Therapeutics Plc(HZNP-US) Schedules American College of Rheumatology Convergence - Abstract No - 0665 for 7-November-2020 9:00 AM ET,FCSTEV
10/08/20,Horizon Therapeutics Plc(HZNP-US) Schedules American College of Rheumatology Convergence - Abstract No - 0681 for 7-November-2020 9:00 AM ET,FCSTEV
10/08/20,Horizon Therapeutics Plc(HZNP-US) Schedules American College of Rheumatology Convergence - Abstract No - 1550 for 9-November-2020 9:00 AM ET,FCSTEV
10/08/20,Horizon Therapeutics Plc(HZNP-US) Schedules American College of Rheumatology Convergence - Abstract No - 0677 for 7-November-2020 9:00 AM ET,FCSTEV
10/08/20,Horizon Therapeutics Plc(HZNP-US) Schedules American College of Rheumatology Convergence - Abstract No - 0683 for 7-November-2020 9:00 AM ET,FCSTEV
10/08/20,Horizon Therapeutics Plc(HZNP-US) Schedules American College of Rheumatology Convergence - Abstract No - 0662 for 7-November-2020 9:00 AM ET,FCSTEV
10/08/20,Horizon Therapeutics Plc(HZNP-US) Schedules American College of Rheumatology Convergence - Abstract No - 1629 for 9-November-2020 9:00 AM ET,FCSTEV
10/08/20,Horizon Therapeutics Plc(HZNP-US) Schedules American College of Rheumatology Convergence - Abstract No - 0657 for 7-November-2020 9:00 AM ET,FCSTEV
10/08/20,Horizon Therapeutics Plc(HZNP-US) Schedules Business Update Call for 10-November-2020 7:00 PM ET,FCSTEV
10/08/20,Horizon Therapeutics Plc(HZNP-US) Schedules American College of Rheumatology Convergence - Abstract No - 0673 for 7-November-2020 9:00 AM ET,FCSTEV
10/08/20,Horizon Therapeutics Plc(HZNP-US) Schedules Q3 2020 Earnings Call for 2-November-2020 8:00 AM ET,FCSTEV
10/08/20,Horizon Therapeutics Plc(HZNP-US) Schedules Q3 2020 Earnings Release for 2-November-2020 7:00 AM ET,FCSTEV
10/08/20,DJ Press Release: New Data Evaluating KRYSTEXXA(R) -2-,DJGM
10/08/20,DJ Press Release: New Data Evaluating KRYSTEXXA(R) (pegloticase injection) With Concomitant Immunomodulation to Be Presented at the American College of Rheumatology Convergence 2020,DJGM
10/08/20,New Data Evaluating KRYSTEXXA¬ (pegloticase injection) With Concomitant Immunomodulation to Be Presented at the American College of Rheumatology Convergence 2020,BW
10/08/20,"DJ Press Release: Horizon Therapeutics plc to Release Third-Quarter 2020 Financial Results and Host Webcast on Nov. 2, 2020",DJGM
10/08/20,"Horizon Therapeutics plc to Release Third-Quarter 2020 Financial Results and Host Webcast on Nov. 2, 2020",BW
10/07/20,DJ Press Release: Horizon Therapeutics plc Named One of San Francisco Bay Area's Best and Brightest Companies to Work For,DJGM
10/07/20,Horizon Therapeutics plc Named One of San Francisco Bay Area's Best and Brightest Companies to Work For,BW
10/05/20,DJ Press Release: Horizon Therapeutics plc Announces TEPEZZA(R) (teprotumumab-trbw) Selected as a Winner of the R&D 100 Award,DJGM
10/05/20,Horizon Therapeutics plc Announces TEPEZZA¬ (teprotumumab-trbw) Selected as a Winner of the R&D 100 Award,BW
10/01/20,DJ Press Release: Horizon Therapeutics plc Named as an Angels in Adoption(R) Honoree by U.S. Congressional Coalition on Adoption for #RAREis Adoption Fund partnership with Gift of Adoption,DJGM
10/01/20,Horizon Therapeutics plc Named as an Angels in Adoption¬ Honoree by U.S. Congressional Coalition on Adoption for #RAREis Adoption Fund partnership with Gift of Adoption ,BW
09/16/20,DJ Press Release: MIRROR Open-Label Trial Data -2-,DJGM
09/16/20,DJ Press Release: MIRROR Open-Label Trial Data Published in Journal of Rheumatology Show 79 Percent of Patients Achieved a Complete Response Using KRYSTEXXA(R) (pegloticase injection) with Methotrexate,DJGM
09/16/20,MIRROR Open-Label Trial Data Published in Journal of Rheumatology Show 79 Percent of Patients Achieved a Complete Response Using KRYSTEXXA¬ (pegloticase injection) with Methotrexate ,BW
09/03/20,Horizon Therapeutics Plc(HZNP-US) Schedules Morgan Stanley Global Healthcare Conference for 16-September-2020 12:30 PM ET,FCSTEV
09/02/20,"DJ Press Release: Horizon Therapeutics plc Named to the 2020 PEOPLE ""50 Companies That Care"" List",DJGM
09/02/20,"Horizon Therapeutics plc Named to the 2020 PEOPLE ""50 Companies That Care"" List",BW
09/01/20,DJ Press Release: Horizon Therapeutics plc to Present at the Morgan Stanley 18th Annual Global Healthcare Conference,DJGM
09/01/20,Horizon Therapeutics plc to Present at the Morgan Stanley 18th Annual Global Healthcare Conference,BW
08/11/20,DJ Press Release: Horizon Therapeutics plc Announces Closing of Public Offering of Ordinary Shares and Full Exercise of Underwriters' Option to Purchase Additional Ordinary Shares,DJGM
08/11/20,Horizon Therapeutics plc Announces Closing of Public Offering of Ordinary Shares and Full Exercise of Underwriters' Option to Purchase Additional Ordinary Shares,BW
08/10/20,DJ Press Release: Horizon Therapeutics Named one of the Best Places to Work in Chicago by Crain's Chicago Business,DJGM
08/10/20,Horizon Therapeutics Named one of the Best Places to Work in Chicago by Crain's Chicago Business,BW
08/06/20,DJ Press Release: Horizon Therapeutics plc Announces Pricing of Public Offering of Ordinary Shares,DJGM
08/06/20,Horizon Therapeutics plc Announces Pricing of Public Offering of Ordinary Shares,BW
08/06/20,DJ Press Release: Horizon Therapeutics Named 2020 Top Workplace for Millennials by Fortune,DJGM
08/06/20,Horizon Therapeutics Named 2020 Top Workplace for Millennials by Fortune,BW
08/05/20,DJ Press Release: Horizon Therapeutics plc Announces Proposed Public Offering of Ordinary Shares,DJGM
08/05/20,Horizon Therapeutics plc Announces Proposed Public Offering of Ordinary Shares ,BW
08/05/20,DJ Press Release: Horizon Therapeutics plc Reports -9-,DJGM
08/05/20,DJ Press Release: Horizon Therapeutics plc Reports -7-,DJGM
08/05/20,DJ Press Release: Horizon Therapeutics plc Reports -5-,DJGM
08/05/20,DJ Press Release: Horizon Therapeutics plc Reports -3-,DJGM
08/05/20,DJ Press Release: Horizon Therapeutics plc Reports -4-,DJGM
08/05/20,DJ Press Release: Horizon Therapeutics plc Reports -2-,DJGM
08/05/20,DJ Press Release: Horizon Therapeutics plc Reports -8-,DJGM
08/05/20,DJ Press Release: Horizon Therapeutics plc Reports -6-,DJGM
08/05/20,DJ Press Release: Horizon Therapeutics plc Reports Record Second-Quarter 2020 Results; Increases TEPEZZA(R) Full-Year Net Sales Guidance to Greater Than $650 Million; Increases Full--Year 2020 Net Sales and Adjusted EBITDA Guidance,DJGM
08/05/20,Horizon Therapeutics plc Reports Record Second-Quarter 2020 Results; Increases TEPEZZA¬ Full-Year Net Sales Guidance to Greater Than $650 Million; Increases Full_Year 2020 Net Sales and Adjusted EBITDA Guidance,BW
07/31/20,DJ Press Release: New Topline TEPEZZA(R) -2-,DJGM
07/31/20,"DJ Press Release: New Topline TEPEZZA(R) (teprotumumab-trbw) Data Underscore its Efficacy in Longer Disease Duration, Long-Term Durability and Potential for Retreatment in People Living with Thyroid Eye Disease (TED)",DJGM
07/31/20,"New Topline TEPEZZA¬ (teprotumumab-trbw) Data Underscore its Efficacy in Longer Disease Duration, Long-Term Durability and Potential for Retreatment in People Living with Thyroid Eye Disease (TED) ",BW
07/22/20,DJ Press Release: Target Enrollment Reached in -2-,DJGM
07/22/20,DJ Press Release: Target Enrollment Reached in MIRROR Randomized Controlled Trial Evaluating KRYSTEXXA(R) (pegloticase injection) Co-Prescribed with Methotrexate as an Immunomodulator to Enhance Response Rates for People Living with Uncontrolled Gout,DJGM
07/22/20,Target Enrollment Reached in MIRROR Randomized Controlled Trial Evaluating KRYSTEXXA¬ (pegloticase injection) Co-Prescribed with Methotrexate as an Immunomodulator to Enhance Response Rates for People Living with Uncontrolled Gout,BW
07/13/20,Horizon Therapeutics Plc(HZNP-US) Schedules Q2 2020 Earnings Call for 5-August-2020 8:00 AM ET,FCSTEV
07/13/20,Horizon Therapeutics Plc(HZNP-US) Schedules Q2 2020 Earnings Release for 5-August-2020 7:00 AM ET,FCSTEV
07/13/20,"DJ Press Release: Horizon Therapeutics plc to Release Second-Quarter 2020 Financial Results and Host Webcast on Aug. 5, 2020",DJGM
07/13/20,"Horizon Therapeutics plc to Release Second-Quarter 2020 Financial Results and Host Webcast on Aug. 5, 2020",BW
07/09/20,"DJ Press Release: Centers for Medicare & Medicaid Services (CMS) Issues Permanent J-Code for TEPEZZA(R) (teprotumumab-trbw) Effective Oct. 1, 2020",DJGM
07/09/20,"Centers for Medicare & Medicaid Services (CMS) Issues Permanent J-Code for TEPEZZA¬ (teprotumumab-trbw) Effective Oct. 1, 2020",BW
07/09/20,DJ Press Release: HemoShear Therapeutics Achieves Milestone in Exclusive Drug Discovery Collaboration with Horizon Therapeutics in Gout,DJGM
07/09/20,HemoShear Therapeutics Achieves Milestone in Exclusive Drug Discovery Collaboration with Horizon Therapeutics in Gout,PRN
07/01/20,New Initiative Encourages the Graves' Disease Community to FOCUS on Eye Health,BW
06/10/20,DJ Press Release: S&PGR Revises Horizon Therapeutics -2-,DJGM
06/10/20,DJ Press Release: S&PGR Revises Horizon Therapeutics To Positive,DJGM
06/10/20,Headline: DJ S&PGR Revises Horizon Therapeutics To Positive,DJGM
06/09/20,DJ Moody's Upgrades Horizon Therapeutics To Ba2; Stable Outlook,DJGM
06/03/20,Horizon Therapeutics Plc(HZNP-US) Schedules European Rheumatology Congress - KRYSTEXXA Immunomodulation Strategy and EULAR Data for 4-June-2020 3:00 PM ET,FCSTEV
06/03/20,DJ Press Release: Horizon Therapeutics plc Announces Redemption of All $400 Million of Its Exchangeable Senior Notes,DJGM
06/03/20,Horizon Therapeutics plc Announces Redemption of All $400 Million of ItsæExchangeable Senior Notes,BW
06/03/20,DJ Press Release: Data Presented on KRYSTEXXA(R) -2-,DJGM
06/03/20,DJ Press Release: Data Presented on KRYSTEXXA(R) (pegloticase injection) Co-Prescribed with an Immunomodulator Adds to Growing Body of Evidence for this Treatment Approach,DJGM
06/03/20,Data Presented on KRYSTEXXA¬ (pegloticase injection) Co-Prescribed with an Immunomodulator Adds to Growing Body of Evidence for this Treatment Approach ,BW
05/22/20,Horizon Therapeutics Plc(HZNP-US) Schedules European Rheumatology Congress - Abstract No - THU0434 for 3-June-2020,FCSTEV
05/22/20,Horizon Therapeutics Plc(HZNP-US) Schedules European Rheumatology Congress - Abstract No - OP0169 for 4-June-2020 4:25 AM ET,FCSTEV
05/22/20,Horizon Therapeutics Plc(HZNP-US) Schedules European Rheumatology Congress - Abstract No - THU0408 for 3-June-2020,FCSTEV
05/22/20,Horizon Therapeutics Plc(HZNP-US) Schedules European Rheumatology Congress - Abstract No - THU0416 for 3-June-2020,FCSTEV
05/22/20,Horizon Therapeutics Plc(HZNP-US) Schedules European Rheumatology Congress - Abstract No - THU0410 for 3-June-2020,FCSTEV
05/22/20,Horizon Therapeutics Plc(HZNP-US) Schedules European Rheumatology Congress - Abstract No - OP0173 for 4-June-2020 4:55 AM ET,FCSTEV
05/22/20,Horizon Therapeutics Plc(HZNP-US) Schedules European Rheumatology Congress - Abstract No - THU0433 for 3-June-2020,FCSTEV
05/22/20,Horizon Therapeutics Plc(HZNP-US) Schedules European Rheumatology Congress - Abstract No - THU0431 for 3-June-2020,FCSTEV
05/22/20,Horizon Therapeutics Plc(HZNP-US) Schedules European Rheumatology Congress - Abstract No - THU0430 for 3-June-2020,FCSTEV
05/22/20,Horizon Therapeutics Plc(HZNP-US) Schedules European Rheumatology Congress - Abstract No - THU0442 for 3-June-2020,FCSTEV
05/21/20,DJ Press Release: Horizon Therapeutics Named Number One Best Workplace in Chicago,DJGM
05/21/20,Horizon Therapeutics Named Number One Best Workplace in Chicago,BW
05/21/20,Data on Multiple Immunomodulation Approaches with KRYSTEXXA¬ (pegloticase injection) to be Presented at the Annual European Congress of Rheumatology (EULAR 2020) ,BW
05/19/20,Horizon Therapeutics Plc(HZNP-US) Schedules BMO Capital Markets Prescription for Success Healthcare Conference for 23-June-2020 10:30 AM ET,FCSTEV
05/19/20,Horizon Therapeutics Plc(HZNP-US) Schedules Jefferies Virtual Healthcare Conference for 2-June-2020 1:00 PM ET,FCSTEV
05/19/20,DJ Press Release: Horizon Therapeutics to Participate in Upcoming Investor Conferences,DJGM
05/19/20,Horizon Therapeutics to Participate in Upcoming Investor Conferences,BW
05/14/20,DJ Press Release: New Data on the Pharmacokinetic -2-,DJGM
05/14/20,"DJ Press Release: New Data on the Pharmacokinetic Profile of TEPEZZA(TM) (teprotumumab-trbw) Reinforce the Labeled Dosing Regimen, Indicating a Positive, Consistent Response to Therapy",DJGM
05/14/20,"New Data on the Pharmacokinetic Profile of TEPEZZA» (teprotumumab-trbw) Reinforce the Labeled Dosing Regimen, Indicating a Positive, Consistent Response to Therapy",BW
05/11/20,DJ Press Release: U.S. Physician Survey Illustrates the Devastating Impact of Thyroid Eye Disease on Patient Quality of Life,DJGM
05/11/20,U.S. Physician Survey Illustrates the Devastating Impact of Thyroid Eye Disease on Patient Quality of Life,BW
05/06/20,DJ Press Release: Horizon Therapeutics plc Reports -7-,DJGM
05/06/20,DJ Press Release: Horizon Therapeutics plc Reports -6-,DJGM
05/06/20,DJ Press Release: Horizon Therapeutics plc Reports -5-,DJGM
05/06/20,DJ Press Release: Horizon Therapeutics plc Reports -3-,DJGM
05/06/20,DJ Press Release: Horizon Therapeutics plc Reports -4-,DJGM
05/06/20,DJ Press Release: Horizon Therapeutics plc Reports -2-,DJGM
05/06/20,DJ Press Release: Horizon Therapeutics plc Reports Strong First-Quarter 2020 Financial Results; Increasing TEPEZZA(TM) Full-Year 2020 Net Sales Guidance to Greater Than $200 Million Due to Rapid Uptake; Increasing Full-Year 2020 Net Sales Guidance,DJGM
05/06/20,Horizon Therapeutics plc Reports Strong First-Quarter 2020 Financial Results; Increasing TEPEZZA» Full-Year 2020 Net Sales Guidance to Greater Than $200 Million Due to Rapid Uptake; Increasing Full-Year 2020 Net Sales Guidance,BW
04/27/20,DJ Press Release: Horizon Therapeutics plc Announces Availability of PROCYSBI(R) (Cysteamine Bitartrate) Delayed-Release Oral Granules in Packets in the United States,DJGM
04/27/20,Horizon Therapeutics plc Announces Availability of PROCYSBI¬ (Cysteamine Bitartrate) Delayed-Release Oral Granules in Packets in the United States,BW
04/15/20,Horizon Therapeutics Plc(HZNP-US) Schedules Q1 2020 Earnings Call for 6-May-2020 8:00 AM ET,FCSTEV
04/15/20,Horizon Therapeutics Plc(HZNP-US) Schedules Q1 2020 Earnings Release for 6-May-2020 7:00 AM ET,FCSTEV
04/15/20,"DJ Press Release: Horizon Therapeutics plc to Release First-Quarter 2020 Financial Results and Host Webcast on May 6, 2020",DJGM
04/15/20,"Horizon Therapeutics plc to Release First-Quarter 2020 Financial Results and Host Webcast on May 6, 2020",BW
04/09/20,DJ Press Release: Horizon Therapeutics plc Named One of the 2020 Best Workplaces in Health Care and Biopharma by Fortune and Great Place to Work(R),DJGM
04/09/20,Horizon Therapeutics plc Named One of the 2020 Best Workplaces in Health Care and Biopharma by Fortune and Great Place to Work¬,BW
04/02/20,"DJ Press Release: Horizon Therapeutics plc Acquires Curzion Pharmaceuticals, Inc. and Its LPAR1 Antagonist Product Candidate to Expand Development-Stage Pipeline",DJGM
04/02/20,"Horizon Therapeutics plc Acquires Curzion Pharmaceuticals, Inc. and Its LPAR1 Antagonist Product Candidate to Expand Development-Stage Pipeline",BW
03/31/20,"TEPEZZA» (teprotumumab-trbw) Significantly Reduces Proptosis (Eye Bulging), a Key Marker of Thyroid Eye Disease, Across Patient Subtypes",BW
03/26/20,DJ Press Release: Horizon Therapeutics plc Donates $1.5 Million to COVID-19 Response Efforts in Illinois and Other Impacted U.S. and Global Communities,DJGM
03/26/20,Horizon Therapeutics plc Donates $1.5 Million to COVID-19 Response Efforts in Illinois and Other Impacted U.S. and Global Communities,BW
03/08/20,Horizon Therapeutics Plc(HZNP-US) Schedules Annual General Meeting for 30-April-2020 10:00 AM ET,FCSTEV
03/03/20,Horizon Therapeutics plc Launches the Down and Out Kidney Campaign to Call Attention to the Prevalence and Impact of Gout in Chronic Kidney Disease,BW
02/28/20,Horizon and Willis Tower Elevate the Need for Rare Disease Innovation on Rare Disease Day,BW
02/28/20,DJ Press Release: Horizon Therapeutics plc Partners with EveryLife Foundation to Establish $1 Million #RAREis Scholarship for Adults with Rare Diseases,DJGM
02/28/20,Horizon Therapeutics plc Partners with EveryLife Foundation to Establish $1 Million #RAREis Scholarship for Adults with Rare Diseases,BW
02/27/20,DJ Press Release: Horizon Therapeutics plc Named One of the Best Workplaces in Ireland,DJGM
02/27/20,Horizon Therapeutics plc Named One of the Best Workplaces in Ireland,BW
02/26/20,DJ Press Release: Horizon Therapeutics plc Reports -9-,DJGM
02/26/20,DJ Press Release: Horizon Therapeutics plc Reports -8-,DJGM
02/26/20,DJ Press Release: Horizon Therapeutics plc Reports -5-,DJGM
02/26/20,DJ Press Release: Horizon Therapeutics plc Reports -3-,DJGM
02/26/20,DJ Press Release: Horizon Therapeutics plc Reports -7-,DJGM
02/26/20,DJ Press Release: Horizon Therapeutics plc Reports -6-,DJGM
02/26/20,DJ Press Release: Horizon Therapeutics plc Reports -4-,DJGM
02/26/20,DJ Press Release: Horizon Therapeutics plc Reports -2-,DJGM
02/26/20,DJ Press Release: Horizon Therapeutics plc Reports Fourth-Quarter and Full-Year 2019 Financial Results; Announces Full-Year 2020 Guidance,DJGM
02/26/20,Horizon Therapeutics plc Reports Fourth-Quarter and Full-Year 2019 Financial Results; Announces Full-Year 2020 Guidance,BW
02/18/20,Horizon Therapeutics Plc(HZNP-US) Schedules Cowen Health Care Conference for 3-March-2020 12:00 PM ET,FCSTEV
02/18/20,DJ Press Release: Horizon Therapeutics plc to Present at the Cowen and Company 40th Annual Health Care Conference,DJGM
02/18/20,Horizon Therapeutics plc to Present at the Cowen and Company 40th Annual Health Care Conference,BW
02/18/20,DJ Press Release: Horizon Therapeutics plc Announces U.S. FDA Approval of New Dosage Form for PROCYSBI(R) (Cysteamine Bitartrate) Delayed-Release Oral Granules,DJGM
02/18/20,Horizon Therapeutics plc Announces U.S. FDA Approval of New Dosage Form for PROCYSBI¬ (Cysteamine Bitartrate) Delayed-Release Oral Granules,BW
02/11/20,Uplifting Athletes Announces Horizon Therapeutics plc as Exclusive Sponsor to Help Tackle Rare Disease at the National Football League (NFL) Scouting Combine,BW
02/04/20,Horizon Therapeutics Plc(HZNP-US) Schedules Q4 2019 Earnings Call for 26-February-2020 8:00 AM ET,FCSTEV
02/04/20,Horizon Therapeutics Plc(HZNP-US) Schedules Q4 2019 Earnings Release for 26-February-2020 7:00 AM ET,FCSTEV
02/04/20,DJ Moody's Revises Horizon Therapeutics' Outlook To Positive; Affirms Ba3 Cfr,DJGM
02/04/20,"Horizon Therapeutics plc to Release Fourth-Quarter and Full-Year 2019 Financial Results and Host Webcast on Feb. 26, 2020",BW
01/28/20,DJ Press Release: Horizon Therapeutics Announces Significant Expansion and Relocation of U.S. Operations,DJGM
01/28/20,Horizon Therapeutics Announces Significant Expansion and Relocation of U.S. Operations,BW
01/24/20,DJ Press Release: Horizon Therapeutics plc Announces Changes in Research and Development Organization,DJGM
01/24/20,Horizon Therapeutics plc Announces Changes in Research and Development Organization,BW
01/22/20,DJ Press Release: The New England Journal of -2-,DJGM
01/22/20,DJ Press Release: The New England Journal of Medicine Publishes Comprehensive Data from Phase 3 Clinical Trial (OPTIC) of TEPEZZA(TM) (teprotumumab-trbw) for Thyroid Eye Disease,DJGM
01/22/20,The New England Journal of Medicine Publishes Comprehensive Data from Phase 3 Clinical Trial (OPTIC) of TEPEZZA» (teprotumumab-trbw) for Thyroid Eye Disease,BW
01/21/20,Horizon Therapeutics Plc(HZNP-US) Schedules TEPEZZATM FDA Approval Call for 21-January-2020 5:00 PM ET,FCSTEV
01/21/20,FDA Approves TEPEZZATM (teprotumumab-trbw) for the Treatment of Thyroid Eye Disease (TED),BW
