SUPNdate,SUPNnews,SUPNsource
08/11/20,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q2 2020 Earnings Release for 18-August-2020 5:00 PM ET",FCSTEV
08/11/20,Supernus Announces Preliminary Second Quarter 2020 Revenue,PMZ
08/11/20,DJ Press Release: Supernus Announces Preliminary Second Quarter 2020 Revenue,DJGM
06/26/20,Supernus Sues Apotex for Infringement of Oxtellar XR¨ Patents,PMZ
06/09/20,Supernus Completes Acquisition of CNS Portfolio from US WorldMeds,PMZ
06/09/20,DJ Press Release: Supernus Completes Acquisition of CNS Portfolio from US WorldMeds,DJGM
05/27/20,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Jefferies Virtual Healthcare Conference for 2-June-2020 4:00 PM ET",FCSTEV
05/27/20,DJ Press Release: Supernus to Present at the Jefferies Virtual Health Care Conference,DJGM
05/27/20,Supernus to Present at the Jefferies Virtual Health Care Conference,PMZ
05/15/20,Supernus Announces Paragraph IV ANDA Filing for Oxtellar XR¨,PMZ
05/15/20,DJ Press Release: Supernus Announces Paragraph IV ANDA Filing for Oxtellar XR(R),DJGM
05/05/20,DJ Press Release: Supernus Announces First Quarter -2-,DJGM
05/05/20,DJ Press Release: Supernus Announces First Quarter 2020 Financial Results,DJGM
05/05/20,Supernus Announces First Quarter 2020 Financial Results,PMZ
04/28/20,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Acquisition of CNS portfolio of US WorldMeds by Supernus Pharmaceuticals, Inc. Call for 29-April-2020 8:30 AM ET",FCSTEV
04/28/20,DJ Press Release: Supernus to Acquire CNS Portfolio -2-,DJGM
04/28/20,DJ Press Release: Supernus to Acquire CNS Portfolio from US WorldMeds,DJGM
04/28/20,Supernus to Acquire CNS Portfolio from US WorldMeds,PMZ
04/27/20,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q1 2020 Earnings Call for 6-May-2020 9:00 AM ET",FCSTEV
04/27/20,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q1 2020 Earnings Release for 5-May-2020 6:46 PM ET",FCSTEV
04/27/20,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Annual General Meeting for 15-June-2020",FCSTEV
04/24/20,DJ Press Release: Supernus to Host First Quarter Results Earnings Conference Call,DJGM
04/24/20,Supernus to Host First Quarter Results Earnings Conference Call,PMZ
04/21/20,Supernus and Navitor Announce Development and Option Agreement for Orally Active mTORC1 Activator NV-5138,PMZ
04/21/20,DJ Press Release: Supernus and Navitor Announce -2-,DJGM
04/21/20,DJ Press Release: Supernus and Navitor Announce Development and Option Agreement for Orally Active mTORC1 Activator NV-5138,DJGM
03/30/20,Supernus Provides Business Update,PMZ
03/30/20,DJ Press Release: Supernus Provides Business Update,DJGM
02/26/20,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Cowen Health Care Conference for 2-March-2020 4:10 PM ET",FCSTEV
02/26/20,Supernus to Present at the 2020 Cowen Health Care Conference,PMZ
02/26/20,DJ Press Release: Supernus to Present at the 2020 Cowen Health Care Conference,DJGM
02/25/20,Supernus Announces Fourth Quarter and Full Year 2019 Financial Results,PMZ
02/25/20,DJ Press Release: Supernus Announces Fourth Quarter -2-,DJGM
02/25/20,DJ Press Release: Supernus Announces Fourth Quarter and Full Year 2019 Financial Results,DJGM
02/11/20,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q4 2019 Earnings Release for 25-February-2020 5:00 PM ET",FCSTEV
02/11/20,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q4 2019 Earnings Call for 26-February-2020 9:00 AM ET",FCSTEV
02/11/20,DJ Press Release: Supernus to Host Fourth Quarter and Full Year 2019 Results Earnings Conference Call,DJGM
02/11/20,Supernus to Host Fourth Quarter and Full Year 2019 Results Earnings Conference Call,PMZ
01/21/20,Supernus Announces FDA Acceptance for Review of New Drug Application for SPN-812 for the Treatment of ADHD,PMZ
01/21/20,DJ Press Release: Supernus Announces FDA Acceptance for Review of New Drug Application for SPN-812 for the Treatment of ADHD,DJGM
01/08/20,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules JP Morgan Health Care Conference for 15-January-2020 1:30 PM ET",FCSTEV
01/08/20,DJ Press Release: Supernus to Present at the 2020 J.P. Morgan Healthcare Conference,DJGM
01/08/20,Supernus to Present at the 2020 J.P. Morgan Healthcare Conference,PMZ
12/09/19,Supernus Provides Update on Results from Phase III Study (P301) of SPN-810 for Treatment of Impulsive Aggression (IA) in ADHD Patients,PMZ
12/09/19,DJ Press Release: Supernus Provides Update on Results from Phase III Study (P301) of SPN-810 for Treatment of Impulsive Aggression (IA) in ADHD Patients,DJGM
11/12/19,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Jefferies London Health Care Conference for 21-November-2019 9:40 AM ET",FCSTEV
11/12/19,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Stifel Health Care Conference for 19-November-2019 1:50 PM ET",FCSTEV
11/12/19,Supernus to Present at Two November Healthcare Conferences,PMZ
11/11/19,DJ Press Release: Supernus Submits New Drug Application for SPN-812 for the Treatment of ADHD,DJGM
11/11/19,Supernus Submits New Drug Application for SPN-812 for the Treatment of ADHD,PMZ
11/05/19,Supernus Announces Third Quarter 2019 Financial Results and Topline Data fromÊPhase III Study of SPN-810 for Treatment of Impulsive Aggression (IA) in ADHD Patients,PMZ
11/05/19,DJ Press Release: Supernus Announces Third Quarter -2-,DJGM
11/05/19,DJ Press Release: Supernus Announces Third Quarter 2019 Financial Results and Topline Data from Phase III Study of SPN-810 for Treatment of Impulsive Aggression (IA) in ADHD Patients,DJGM
11/05/19,DJ Press Release: Supernus Announces Third Quarter -3-,DJGM
10/29/19,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q3 2019 Earnings Release for 5-November-2019 4:55 PM ET",FCSTEV
10/29/19,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q3 2019 Earnings Call for 6-November-2019 9:00 AM ET",FCSTEV
10/24/19,DJ Press Release: Supernus to Host Third Quarter 2019 Earnings Conference Call,DJGM
10/24/19,Supernus to Host Third Quarter 2019 Earnings Conference Call,PMZ
09/25/19,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Cantor Global Health Care Conference for 3-October-2019 5:20 PM ET",FCSTEV
09/25/19,Supernus to Present at the 2019 Cantor GlobalÊHealthcare Conference,PMZ
08/26/19,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Morgan Stanley Global Health Care Conference for 11-September-2019 11:05 AM ET",FCSTEV
08/26/19,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Wells Fargo Health Care Conference for 5-September-2019 1:20 PM ET",FCSTEV
08/26/19,Supernus to Present at Two SeptemberÊHealthcare Conferences,PMZ
08/06/19,Supernus Announces Second Quarter 2019 Financial Results,PMZ
07/23/19,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q2 2019 Earnings Call for 7-August-2019 9:00 AM ET",FCSTEV
07/23/19,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q2 2019 Earnings Release for 6-August-2019 4:41 PM ET",FCSTEV
07/23/19,Supernus to Host Second Quarter 2019 Earnings Conference Call,PMZ
05/29/19,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Jefferies Healthcare Conference for 5-June-2019 2:00 PM ET",FCSTEV
05/29/19,Supernus to Present at the Jefferies 2019 Global Healthcare Conference,PMZ
05/07/19,Supernus Announces First Quarter 2019 Financial Results,PMZ
05/01/19,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Annual General Meeting for 11-June-2019 10:00 AM ET",FCSTEV
04/24/19,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q1 2019 Earnings Call for 8-May-2019 9:00 AM ET",FCSTEV
04/24/19,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q1 2019 Earnings Release for 7-May-2019 5:09 PM ET",FCSTEV
04/24/19,Supernus to Host First Quarter 2019 Earnings Conference Call,PMZ
04/01/19,"Supernus Announces Webcast of Investor Day on April 16, 2019",PMZ
03/28/19,Supernus Announces P304 Phase III Data Confirming Positive Results from Previous Three Phase III Studies on SPN-812 in ADHD,PMZ
03/27/19,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules SPN-812 Phase III Study Results Call for 28-March-2019 9:00 AM ET",FCSTEV
03/27/19,Supernus Hosts Conference Call to Present Topline Results of Final Phase III Study for SPN-812 in Adolescents with ADHD,PMZ
03/13/19,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Cowen & Co. Health Care Conference for 13-March-2019 9:20 AM ET",FCSTEV
03/07/19,"Recent Analysis Shows Golar LNG, AG Mortgage Investment Trust, AmerisourceBergen, Caesarstone, Dycom Industries, and Supernus Pharmaceuticals Market Influences - Renewed Outlook, Key Drivers of Growth",PMZ
03/06/19,Supernus to Present at the 2019 Cowen Health Care Conference,PMZ
02/26/19,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Investor Day for 16-April-2019 8:30 AM ET",FCSTEV
02/26/19,Supernus Announces Record Full Year 2018 Financial Results,PMZ
02/12/19,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q4 2018 Earnings Call for 27-February-2019 9:00 AM ET",FCSTEV
02/12/19,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q4 2018 Earnings Release for 26-February-2019 5:00 PM ET",FCSTEV
02/12/19,Supernus to Host Fourth Quarter and Full Year 2018 Earnings Conference Call,PMZ
12/24/18,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules J.P. Morgan Healthcare Conference for 9-January-2019 1:30 PM ET",FCSTEV
12/21/18,Supernus to Present at the 2019 J.P. Morgan Healthcare Conference,PMZ
12/20/18,Supernus Announces Positive Results from Phase III Study For SPN-812 in Adolescents with ADHD,PMZ
12/14/18,Supernus Announces FDA Approval of sNDA to Expand Oxtellar XR¨ Label to Include Monotherapy,PMZ
12/06/18,Supernus Announces Positive Results from Two Phase III Studies For SPN-812 in Children with ADHD,PMZ
12/05/18,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules SPN-812 Phase III Topline Study Results Call for 6-December-2018 9:00 AM ET",FCSTEV
12/05/18,Supernus Schedules Conference Call to Present Topline Results of Two Phase III Studies for SPN-812 in Children with ADHD,PMZ
11/07/18,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Jefferies Health Care Conference for 15-November-2018 9:40 AM ET",FCSTEV
11/07/18,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Piper Jaffray Health Care Conference for 27-November-2018 12:00 PM ET",FCSTEV
11/07/18,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Stifel Health Care Conference for 13-November-2018 3:30 PM ET",FCSTEV
11/07/18,Supernus to Present at Three November Healthcare Conferences,PMZ
11/06/18,Supernus Announces Third Quarter 2018 Financial Results and Record Quarterly Revenue,PMZ
10/26/18,"Recent Analysis Shows Supernus Pharmaceuticals, GDS HOLDINGS, Golden Ocean Group, Golar LNG, Endo International plc, and 51job Market Influences - Renewed Outlook, Key Drivers of Growth",PMZ
10/24/18,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q3 2018 Earnings Release for 6-November-2018 5:00 PM ET",FCSTEV
10/24/18,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q3 2018 Earnings Call for 7-November-2018 9:00 AM ET",FCSTEV
10/24/18,Supernus to Host Third Quarter 2018 Earnings Conference Call,PMZ
09/27/18,"New Research Coverage Highlights Randgold Resources, California Water Service Group Holding, B&G Foods, Hawaiian, Bank of Nova Scotia, and Supernus Pharmaceuticals - Consolidated Revenues, Company Growth, and Expectations for 2018",PMZ
09/20/18,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Cantor Global Healthcare Conference for 3-October-2018 8:35 AM ET",FCSTEV
09/20/18,Supernus to Present at the 2018 Cantor Fitzgerald Global Healthcare Conference,PMZ
09/13/18,Supernus to Acquire Biscayne Neurotherapeutics,PMZ
09/06/18,Supernus Wins Appeal on Oxtellar XR¨ against TWi,PMZ
08/29/18,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Wells Fargo Health Care Conference for 5-September-2018 11:25 AM ET",FCSTEV
08/29/18,Supernus to Present at September 2018 Wells Fargo Healthcare Conference,PMZ
08/07/18,Supernus Announces Second Quarter 2018 Financial Results and  Record Quarterly Revenue,PMZ
07/25/18,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q2 2018 Earnings Call for 8-August-2018 9:00 AM ET",FCSTEV
07/25/18,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q2 2018 Earnings Release for 7-August-2018 5:00 PM ET",FCSTEV
07/25/18,Supernus to Host Second Quarter 2018 Earnings Conference Call,PMZ
06/27/18,"Dr. Carrolee Barlow, M.D., Ph.D., Joins Supernus'ÊBoard of Directors",PMZ
06/01/18,"Faruqi & Faruqi, LLP is Investigating Supernus Pharmaceuticals, Inc. (SUPN) on Behalf of its Shareholders",PRN
05/30/18,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Jefferies Global Healthcare Conference for 5-June-2018 11:00 AM ET",FCSTEV
05/30/18,Supernus to Present at the 2018 Jefferies Healthcare Conference,PMZ
05/08/18,Supernus Announces First Quarter 2018 Financial Results and  Record Quarterly Revenue,PMZ
05/03/18,"Technical Perspectives on Generic Drugs Stocks -- Allergan, Catalyst Pharma, Flexion Therapeutics, and Supernus Pharma",PRN
05/02/18,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Annual General Meeting for 12-June-2018 10:00 AM ET",FCSTEV
04/24/18,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q1 2018 Earnings Release for 8-May-2018 5:00 PM ET",FCSTEV
04/24/18,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q1 2018 Earnings Call for 9-May-2018 9:00 AM ET",FCSTEV
04/24/18,Supernus to Host First Quarter 2018 Earnings Conference Call,PMZ
03/06/18,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Cowen & Co. Health Care Conference for 13-March-2018 10:00 AM ET",FCSTEV
03/06/18,Supernus to Present at the 2018 Cowen Health Care Conference,PMZ
02/28/18,"Supernus Pharmaceuticals, Inc. to Host Earnings Call",NEWS_ACW
02/27/18,"Supernus Announces Record Full Year 2017 Financial Results, Exceeding Operating Earnings Guidance",PMZ
02/12/18,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q4 2017 Earnings Call for 28-February-2018 9:00 AM ET",FCSTEV
02/12/18,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q4 2017 Earnings Release for 27-February-2018 5:00 PM ET",FCSTEV
02/12/18,Supernus to Host Fourth Quarter and Full Year 2017 Earnings Conference Call,PMZ
01/12/18,Supernus Mourns the Loss of Board Member William Nuerge,PMZ
01/02/18,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules J.P. Morgan Health Care Conference for 10-January-2018 3:00 PM ET",FCSTEV
01/02/18,Supernus to Present at the 2018 J.P. Morgan Healthcare Conference,PMZ
11/08/17,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Jefferies London Health Care Conference for 16-November-2017 11:40 AM ET",FCSTEV
11/08/17,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Stifel Nicolaus Health Care Conference for 14-November-2017 11:45 AM ET",FCSTEV
11/08/17,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Piper Jaffray Health Care Conference for 29-November-2017 8:00 AM ET",FCSTEV
11/08/17,Supernus to Present at Three November Healthcare Conferences,PMZ
11/07/17,"Supernus Pharmaceuticals, Inc. to Host Earnings Call",NEWS_ACW
11/06/17,Supernus Announces Third Quarter 2017 Financial Results,PMZ
10/24/17,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q3 2017 Earnings Release for 6-November-2017 5:00 PM ET",FCSTEV
10/24/17,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q3 2017 Earnings Call for 7-November-2017 9:00 AM ET",FCSTEV
10/24/17,Supernus to Host Third Quarter 2017 Earnings Conference Call,PMZ
10/20/17,"SHAREHOLDER ALERT: Levi & Korsinsky, LLP Notifies Investors of an Investigation Involving Possible Securities Fraud Violations by the Board of Directors of Supernus Pharmaceuticals, Inc.",BW
09/18/17,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules SPN-810 Phase III Clinical Trials Results Call for 18-September-2017 5:00 PM ET",FCSTEV
09/18/17,Supernus Provides Update on SPN-810 Phase III Clinical Trials,PMZ
09/05/17,"Technical Snapshots for These Generic Drugs Stocks -- Catalyst Pharma, Flexion Therapeutics, Supernus Pharma, and Lannett",PRN
08/15/17,Supernus Defeats Second Generic Challenger to Oxtellar XR¨,PMZ
08/03/17,"Investor Network: Supernus Pharmaceuticals, Inc. to Host Earnings Call",NEWS_ACW
08/02/17,Supernus Announces Record Second Quarter 2017 Financial Results,PMZ
07/19/17,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q2 2017 Earnings Release for 2-August-2017 5:00 PM ET",FCSTEV
07/19/17,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q2 2017 Earnings Call for 3-August-2017 9:00 AM ET",FCSTEV
07/19/17,Supernus to Host Second Quarter 2017 Earnings Conference Call,PMZ
06/21/17,Supernus Announces that its Partner Shire Receives FDA Approval for Mydayisª for ADHD,PMZ
06/12/17,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Annual General Meeting for 13-June-2017",FCSTEV
06/05/17,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Jefferies Global Health Care Conference for 7-June-2017 1:30 PM ET",FCSTEV
06/01/17,Supernus to Present at Jefferies Healthcare Conference,PMZ
05/10/17,"Investor Network: Supernus Pharmaceuticals, Inc. to Host Earnings Call",NEWS_ACW
05/09/17,Supernus Announces First Quarter 2017 Financial Results,PMZ
04/26/17,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q1 2017 Earnings Release for 9-May-2017 5:00 PM ET",FCSTEV
04/26/17,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q1 2017 Earnings Call for 10-May-2017 9:00 AM ET",FCSTEV
04/26/17,Supernus to Host First Quarter 2017 Earnings Conference Call,PMZ
04/05/17,Supernus Receives Final FDA Approval for Trokendi XR¨ for Migraine Prophylaxis in Adults and Adolescents,PMZ
03/07/17,Supernus Announces Settlement with Actavis on Trokendi XR¨ Patent Litigation,PMZ
03/07/17,Zydus announces settlement with Supernus on Trokendi XR¨ (topiramate) extended-release capsules,NEWS_CR
03/06/17,Supernus Announces Settlement with Zydus on Trokendi XR¨ Patent Litigation,PMZ
02/28/17,Supernus Announces Record Fourth Quarter and Full Year 2016 Financial Results,PMZ
02/27/17,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Cowen and Company Global Health Care Conference for 8-March-2017 10:40 AM ET",FCSTEV
02/27/17,Supernus to Present at Cowen Health Care Conference in March,PMZ
02/13/17,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q4 2016 Earnings Release for 28-February-2017 5:00 PM ET",FCSTEV
02/13/17,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q4 2016 Earnings Call for 1-March-2017 9:00 AM ET",FCSTEV
02/13/17,Supernus to Host Fourth Quarter and Full Year 2016 Earnings Conference Call,PMZ
02/08/17,Supernus Announces Issuance of Eighth U.S. Patent Protecting Trokendi XR¨,PMZ
01/30/17,Supernus Announces Issuance of Seventh U.S. Patent  Protecting Trokendi XR¨,PMZ
01/23/17,Supernus Files Form 10-Q for Third Quarter 2016 and Is Now Current with All Financial Filings,PMZ
01/22/17,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q3 2016 Earnings Release for 23-January-2017",FCSTEV
01/03/17,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules J.P. Morgan Health Care Conference for 10-January-2017 7:00 PM ET",FCSTEV
01/03/17,Supernus to Present at the 2017 J.P. Morgan Healthcare Conference,PMZ
12/12/16,Supernus Wins Appeal Case on Oxtellar XR¨,PMZ
11/17/16,Supernus Receives Nasdaq Non-Compliance Notice,PMZ
11/14/16,Supernus Provides Business Update,PMZ
11/13/16,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q3 2016 Sales and Revenue Release for 14-November-2016",FCSTEV
11/11/16,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q3 2016 Sales and Revenue Call for 14-November-2016 9:00 AM ET",FCSTEV
11/11/16,Supernus to Host a Business Update Call,PMZ
11/07/16,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Stifel Healthcare Conference for 15-November-2016 10:15 AM ET",FCSTEV
11/07/16,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Jefferies London Health Care Conference for 17-November-2016 10:20 AM ET",FCSTEV
11/07/16,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Piper Jaffray Health Care Conference for 29-November-2016 9:00 PM ET",FCSTEV
11/07/16,Supernus to Present at Three November Healthcare Conferences,PMZ
10/12/16,Blog Coverage Supernus Reports Positive Results from Phase IIb Clinical Trial for SPN-812,NEWS_ACW
10/11/16,Supernus Announces Positive Results from Phase IIb Clinical Trial For SPN-812 in Children with ADHD,PMZ
10/10/16,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules SPN-812 Phase IIb Trial Results Call for 11-October-2016 9:00 AM ET",FCSTEV
10/10/16,Supernus Schedules Conference Call to Present Results of  Phase IIb Clinical Trial of SPN-812 in Children with ADHD,PMZ
09/19/16,"Learn how to target a 20% return on Netflix, or get option-trade ideas on Supernus Pharmaceuticals, Avis, Intel and UnitedHealth or any stock you choose",PRN
08/19/16,Supernus Receives FDA Tentative Approval for Expanded Label of Trokendi XR¨ to Include Migraine Prophylaxis in Adults,PMZ
08/12/16,"Supernus Announces Resignation of Dr. James Barrett from Board of Directors; Charles W. Newhall, III Elected Chairman",PMZ
08/02/16,Supernus Announces Second Quarter 2016 Financial Results,PMZ
07/20/16,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q2 2016 Earnings Call for 3-August-2016 9:00 AM ET",FCSTEV
07/20/16,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q2 2016 Earnings Release for 2-August-2016 5:00 PM ET",FCSTEV
07/20/16,Supernus to Host Second Quarter 2016 Earnings Conference Call,PMZ
06/28/16,"Drugs - Generic Stocks Technical Snapshot - Sophiris Bio, Neurocrine Biosciences, Lannett, and Supernus Pharma",PRN
06/22/16,Supernus Announces Issuance of Seventh U.S. Patent Protecting Oxtellar XR¨,PMZ
06/16/16,Supernus Provides Update on Trokendi XR¨ Migraine sNDA and Reiterates Guidance,PMZ
06/02/16,Supernus Announces Issuance of Sixth U.S. Patent Protecting Oxtellar XR¨,PMZ
05/24/16,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Jefferies Health Care Conference for 7-June-2016 1:30 PM ET",FCSTEV
05/24/16,Supernus to Present at June Jefferies Healthcare Conference,PMZ
05/10/16,Supernus Enters Into Partial Settlement Agreement with Actavis on Oxtellar XR¨,PMZ
05/03/16,Supernus Announces First Quarter 2016 Financial Results,PMZ
04/22/16,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Annual General Meeting for 19-May-2016",FCSTEV
04/19/16,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q1 2016 Earnings Call for 4-May-2016 9:00 AM ET",FCSTEV
04/19/16,"Supernus Pharmaceuticals, Inc.(SUPN-US) Schedules Q1 2016 Earnings Release for 3-May-2016 After Market Hours ET",FCSTEV
04/19/16,Supernus to Host First Quarter 2016 Earnings Conference Call,PMZ
04/01/16,"Supernus Pharmaceuticals Selects DSG, Inc. for EDC and IWRS in Phase 3 Clinical Studies on Impulsive Aggression in Pediatric Patients Treated for Attention Deficit/Hyperactivity Disorder (ADHD)",BW
03/02/16,Supernus Announces Record Fourth Quarter and Full Year 2015 Financial Results,PMZ
02/25/16,Supernus to Present at March Cowen Health Care Conference,PMZ
